Ticker,12-1 Month Momentum %,14-Day RSI,3-1 Month Momentum %,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-GF-Value,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,8.27,54.16,,1.9,5,6.8,3.9,10.3,3.7,5.12,2.8,67.87,1.01,11.69,58.12,5.26,,0.7,0.39,137.47,2.09,123.03,58.99,66.16,1.81,0.58,,0.18,0.7,25.55,22.05,30.1,23.78,21.16,6.02,6.35,3.91,0.5,21.09,3.5,0.72,24.7,15.24,8.61,5.95,136.17,54.3,15.5,,,19.8,,22.86,6.65,31.1,25.99,2.28,6.14,,0.83,1.44,,29.08,1.01,7.2,1.22,,,22.81,29.4,2.1,2.03,44.78,1.58,11.63,71.45,17.6,21.45,,14.54,,3.5,42.59,,,10,33913792728.0,Medical Specialties,Health Technology
AA,29.83,33.98,4.69,1.4,10.2,,,,,75.95,5.9,30.34,1.11,6.84,31.5,1.33,,0.38,0.45,35.91,1.41,78.33,59.38,26.65,4.45,0.56,,,1.11,838.27,16.54,,4.62,3.58,0.88,0.99,0.12,0.36,,,1.11,8.63,,,6.64,31.52,11.35,1.6,,,,,2.02,1.77,,,,0.62,,,,,,1.14,,,,,17.41,,,1.4,1.83,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,21.88,71.3,48.72,,10.4,,,,,597.78,27,80.83,,56.86,74.16,0.7,,0.33,0.22,18.38,0.57,21.4,22.29,13.62,16.51,,,,,18.03,18.03,,8.69,5.91,0.75,0.8,5.55,,,,,7.49,,15.21,3.98,16.53,20.34,1.4,,,0.51,,5.17,,55.7,16.91,,0.24,,,,,,1.11,,0.59,,,5.36,,,,,0.47,0.43,6.13,5.96,,,2.95,,22.89,16,,,8,8696254174.0,Airlines,Transportation
AAON,79.78,45.59,18.95,,26.3,8.1,29.5,31.8,,20.3,29.5,56.68,0.39,51.36,46.88,28.76,,,,122.07,3.06,92.39,12.1,42.3,0.24,0.09,,0.14,0.26,40.95,33.03,96.99,,,,8.26,2.44,0.77,8.52,1.04,0.26,41.45,20.42,17.97,15.07,80.97,35.65,94.37,,,15.78,,20.14,12.45,53.78,53.78,2.14,8.43,,2.92,8.58,,99.08,1.51,6.09,1.65,,51.08,41.93,63.88,2.15,8.28,15.55,1.79,19.56,38.79,29.01,25.52,,21.87,,0.52,106.85,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,55.73,25.83,3.6,,26,,,,,8.9,52.15,46.18,,54.77,1.91,,0.08,0.12,46.2,1.34,232.75,194.44,24.05,7.27,1.47,,1.28,2.16,29.52,11.65,27.92,30.87,13.95,0.72,0.49,3.39,0.21,1.77,7.92,2.16,28.26,3.34,,,93.74,40.02,2.38,,,0.36,,1.55,1.06,63.29,59.23,,0.22,,,,,12.62,0.49,2.14,0.2,,,6.63,89.88,,0.44,1.74,0.62,0.36,4.12,2.95,1.7,,1.76,,4.02,6.36,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,33.07,37.3,8.18,2.7,,4.9,6.2,6.4,8.6,,5.4,16.81,0.55,6.35,28.39,9.01,,0.37,0.61,236.85,0.87,11.29,98.23,24.41,0.79,1.87,,0.15,0.42,29.39,26.89,33.28,27.4,25.21,8.69,9.26,3.4,0.16,27.83,3.04,0.42,32.02,18.18,11.41,6.9,189.47,46.21,,,,23.97,,31.51,62.87,38.96,35.09,2.21,9.34,,1.48,1.64,,33.58,1.25,9.9,2.06,,,30.89,35.98,2.23,2.61,62.82,0.83,26.93,278.63,59.87,140.28,,32.51,,3.21,51.42,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,17.09,23.41,5.7,,,9.7,8.1,22.2,18.4,28.45,8.5,10.83,6.99,25.84,17.94,0.72,,4.87,0.25,23.56,5.78,,148.94,6.31,7.97,1.8,,1.38,5.69,20.9,11.16,22.02,,,,6.53,4.78,0.35,29.66,9.44,5.69,47.6,9.69,,2.77,26.52,63.33,1.92,,,16.36,,28.14,1.21,24.29,24.29,10.56,3.94,,2.11,1.15,9.85,13.3,0.89,1.15,0.52,,,8.77,16.17,,1.04,1.23,5.78,2.43,683.81,4.81,6.24,,4.5,,,28.56,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,6.54,43.96,,,,7.8,9.6,1.7,7.4,21.19,3.8,29.44,5.78,4.48,40.72,1.79,,0.17,0.1,175.17,0.65,84.15,73.91,75.86,3.9,11.78,,0.57,3.54,37.84,20.49,23.9,13.45,13.11,6.33,6.72,2.64,0.04,28.13,5.05,3.74,14.37,16.59,7.83,5.5,150.94,67.21,5.43,,,9.22,,26.13,51.31,60.82,16.29,1.05,5.59,,0.59,0.65,,19.88,1.16,,1.27,,,18.81,35.07,1.61,1.57,,0.54,3.63,196.81,9.75,59.19,,8.83,,1.72,37.49,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,48.06,20.8,,8.7,,,,,,,35.15,,7.86,44.46,1.91,,8.08,9.01,2.92,9.34,,,376.42,,0.07,,,,,,,,,8.29,8.82,,0.77,,,,,,,20.55,1.01,,,,,,,,0.8,,,,25.84,,,,,,2.89,,,2.63,2.01,,,,,0.88,9.34,,,,,,,,1.04,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,30.38,,,2.2,20.8,5.4,3.2,9.8,60.73,11,29.12,9.67,9.43,28.74,3.38,,0.59,6.19,1.78,1.2,93.05,189.94,25.24,0.13,0.03,,0.85,6.09,8.02,6.01,7.69,7.24,5.56,1.76,1.93,12.47,0.67,25.25,11.75,6.09,9.89,16.95,3.83,6.6,2.72,50.98,7.91,,,16.92,,23.87,1.79,12.61,12.35,2.52,2.14,,,,,8.56,0.65,1.47,0.41,,,6.76,9.15,1.5,0.62,3.96,0.9,10.03,70.19,19.21,15.52,,15.33,,6.41,10.83,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
