Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,32.98,56.6,1.5,7.9,7.7,13.5,33.2,24.7,58.71,10.5,78.07,1.04,3.96,63.47,6.13,0.74,0.61,137.77,1.78,125.99,57.06,66.46,1.56,0.5,,0.18,0.68,25.58,22.17,29.28,24.9,21.77,6.08,6.4,3.91,0.54,21.81,3.58,0.68,24.37,15.67,4.77,2.33,134.0,54.39,17.3,,21.75,,22.9,6.71,28.58,26.44,2.2,6.18,,0.84,1.77,,28.47,5.47,1.23,,,22.58,28.46,2.04,2.11,25.61,1.37,13.03,74.15,18.1,23.78,,16.15,,3.21,44.44,,,10,33913792728.0,Medical Specialties,Health Technology
AA,47.46,64.17,1.4,10.2,,,,,75.95,5.9,75.74,0.96,6.39,67.03,1.41,0.38,0.45,45.28,1.41,78.33,59.38,26.65,4.45,0.56,,,0.89,973.91,19.21,,6.91,5.03,1.1,1.15,0.1,0.36,,,0.89,14.19,,,4.06,34.07,11.35,1.6,,,,2.02,2.23,,,,0.75,,,,,,,,,,20.91,,,1.78,2.31,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,58.92,,10.4,,,,,597.78,27,47.22,,,55.05,0.67,0.33,0.22,14.01,0.57,21.4,22.29,13.62,16.51,,,,,16.61,16.61,,6.13,4.5,0.69,0.74,6.02,,,,,6.91,,,3.98,16.12,20.34,1.4,,0.51,,5.17,,42.44,12.88,,0.18,,,,,,,0.45,,,4.09,,,,,0.47,0.43,6.13,5.96,,,2.95,,31.9,12.18,,,8,8696254174.0,Airlines,Transportation
AAON,86.12,56.57,,26.3,8.1,29.5,31.8,,20.3,29.5,48.32,0.42,37.38,53.36,23.6,,,120.28,2.99,98.09,12.85,43.47,0.35,0.14,,0.14,0.27,38.19,31.31,90.27,,,,7.78,2.62,0.73,8.59,1.05,0.27,42.55,20.43,16.6,10.85,79.1,36.27,88.05,,15.61,,20.32,13.15,54.18,54.18,2.16,8.43,,2.94,8.49,,98.19,6.33,1.66,,63.52,44.38,69.27,2.16,8.83,16.71,1.7,19.5,39.13,29.71,25.86,,21.83,,0.48,110.35,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,47.95,3.6,,26,,,,,8.9,66.87,56.44,,54.15,1.71,0.09,0.12,38.89,1.23,263.29,213.8,27.04,11.12,1.52,,100,2.59,126.08,16.12,16.36,21.56,9.73,0.51,0.51,0.79,0.21,3.13,15.18,2.59,14.08,7.5,83.75,,147.08,39.48,0.41,,,,0.3,0.89,3889,3889,,0.2,,,,,6.54,19.75,0.18,,,4.27,14.07,,0.34,2.23,0.3,,0.91,0.64,,,0.32,,,5.19,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,28.39,41.26,2.7,,4.9,6.2,6.4,8.6,,5.4,28.61,0.58,23.68,35.46,8.62,0.37,0.61,222.58,0.87,11.29,98.23,24.41,0.79,1.87,,0.15,0.44,27.64,25.29,31.42,25.57,23.58,8.15,8.71,3.62,0.16,27.83,3.23,0.45,29.97,18.32,16.37,9.2,187.3,46.21,,,23.97,,31.51,59.04,36.61,32.97,2.07,8.72,,1.4,1.55,,31.56,9.35,1.96,,,29.03,33.78,2.11,2.47,59.04,0.83,26.93,278.63,59.87,140.28,,32.51,,3.4,48.28,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,32.68,52.45,,,9.7,8.1,22.2,18.4,28.45,8.5,52.56,6.01,23.06,51.56,0.78,4.87,0.25,28.04,5.78,,148.94,6.31,7.97,1.8,,1.38,4.8,22.85,12.2,24.07,,,,7.14,4.38,0.35,29.66,7.94,4.81,38.94,9.03,,2.94,27.11,63.33,1.92,,16.36,,28.14,1.44,28.91,28.91,12.57,4.59,,2.5,1.37,11.45,15.45,1.37,0.61,,,10.21,18.8,,1.23,1.46,5.78,2.43,683.81,4.81,6.24,,4.5,,,34.2,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,37.39,63.23,,,7.8,9.6,1.7,7.4,21.19,3.8,69.12,4.98,18.62,66.59,1.99,0.17,0.1,201.26,0.65,84.15,73.91,75.86,3.9,11.78,,0.57,3.09,42.56,23.04,26.9,15.33,14.79,7.15,7.56,2.35,0.04,28.13,4.39,3.25,16.61,15.73,7.26,5.09,147.37,67.21,5.43,,9.22,,26.13,59.02,69.88,18.72,1.21,6.43,,0.68,0.75,,22.86,,1.46,,,21.63,40.33,1.86,1.81,,0.54,3.63,196.81,9.75,59.19,,8.83,,1.47,43.1,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,50.54,,8.7,,,,,,,43.55,,,48.66,1.89,8.08,9.01,2.76,9.34,,,376.42,,0.07,,,,,,,,,8.29,7.03,,0.77,,,,,,,28.34,1.06,,,,,,,0.76,,,,24.25,,,,,,,,2.49,1.91,,,,,0.83,9.34,,,,,,,,,,,,4,1545160366.0,Biotechnology,Health Technology
ABG,10.38,61.53,,50.3,,28.2,37.8,,8.08,24,76.97,,8.45,67.35,2.76,0.03,0.01,258.68,1.2,48.06,16.14,4.32,6.36,1.52,,,,13.4,12.18,37.54,11.43,10.42,0.55,0.59,7.46,0.33,1.58,5.14,,9.23,30.99,,6.43,261.15,17.41,3.89,,2.16,,5.9,1.51,14.64,9.61,0.3,0.32,,0.31,1.71,,19.61,,1.11,,,10.35,87.67,0.39,0.53,,0.41,3.64,17.42,9.79,10.8,,7.97,,,13.72,,,10,4632090814.999999,Specialty Stores,Retail Trade
