Ticker,12-1 Month Momentum %,14-Day RSI,3-1 Month Momentum %,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-GF-Value,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
ABNB,4.33,54.52,15.28,,38.3,,,,,322.31,8,56.87,,,55.16,4.81,,0.99,4.98,138.28,1.62,,33.1,6.78,0.96,0.27,,,,34.12,33.26,19.02,22.23,21.88,6.36,7.22,2.93,0.38,37.96,4.76,,31.1,,,10.67,166.35,83.07,22.92,,,16.96,,15.01,10.21,48.52,48.52,,8.3,,,,,22.03,0.83,4.93,,,18.71,22.03,36.95,,,11.25,1.62,7.98,839.68,21.23,22.05,,19.8,,3.95,,,,2,92399740712.0,Other Consumer Services,Consumer Services
ABT,11.21,59.98,0.99,0.7,6.3,12.3,6.8,6.7,,,5.8,73.66,3.45,9.88,64.32,5.34,,0.52,0.52,118.95,1.6,134.18,82.06,59.46,1.42,0.38,,0.48,1.85,28.78,20.01,32.65,22.6,17.85,4.7,5.14,3.47,0.54,15.74,3.14,1.85,23.06,11.26,8.9,6.48,108.37,55.55,11.5,,,13.99,,16.24,5.19,36.16,26.32,2.29,5.07,,1.42,1.66,,32.06,1.1,5.24,1.17,,,23.87,41.84,3.26,1.98,23.46,1.14,7.9,65.41,12.45,14.86,,10.65,,3.34,42.48,,,10,176555322492.0,Medical Specialties,Health Technology
ACA,27.09,61.57,2.87,,6.9,,13.2,4.1,,3.27,5.9,50.66,0.18,7.61,58.95,2.93,,1.75,0.61,107.37,3.61,70.83,47.61,57.32,3.31,0.51,,0.06,0.18,29.12,15.47,47.88,,,1.95,2.33,3.43,0.56,4.86,2.31,0.18,24.26,17.98,26.64,11.51,76.87,19.84,4.58,,,5.17,,7.87,2.15,40.83,33.24,1.65,2.18,,,,,44.44,1.4,2.63,,,,16.99,26.04,2.12,1.45,4.68,2.77,3.4,11.35,5.93,5.41,,5.14,,,,,,9,3644941042.999999,Trucks/Construction/Farm Machinery,Producer Manufacturing
ACAD,,51.59,,,,,38.8,40.9,46.1,223.57,16.4,43.04,,,48.83,2.64,,1.64,11.45,16.29,2.29,235.21,82.57,38.31,0.4,0.09,,,,19.43,17.51,10.76,13.33,16.44,2.13,2.35,5.15,0.59,21.82,7.48,,21.29,,,15.87,33.75,91.61,,,,13.83,,12.08,4.69,20.88,20.88,0.94,2.9,,,,,13.32,0.48,2.31,,16.29,6.96,13.32,20.34,,,5.74,2.11,15.57,203.67,21.17,27.32,,51.02,,,,,,,4047377469.0,Pharmaceuticals: Major,Health Technology
ACHC,,40.02,,,12.2,,,16.9,,,10.9,69.75,,,50.46,1.74,,0.13,0.04,41.28,1.07,18.46,542.09,44.04,3.16,0.66,,,,11.7,9.02,,9.22,7.28,1.66,1.84,8.55,0.52,,,,11.48,0.81,11.1,9.02,85.03,96.45,5.11,,,8.99,,17.48,1.25,13.53,11.77,,1.2,,,,,,0.49,1.69,0.57,,,29.03,,,1.24,5.46,1.06,5.05,19.42,10.06,9.78,,8.25,,,121.41,,,7,6460318360.000001,Medical/Nursing Services,Health Services
ACHR,,84.71,,,100.9,,,,,,,89.23,,,87.1,,,5.79,,,6.03,,,,,,,,,,,,,,52.82,,,,,,,,,17.54,,,,,,,,,,7.35,,,,,,,,,,,,,10.77,10.1,,,,,7.35,6.03,,,,,,,,,,,,,1649497955.0,Aerospace & Defense,Electronic Technology
ACI,,62.22,,,18.8,33.9,6,,,132.17,4.2,75.53,2.46,,66.81,3.53,,0.04,0.02,19.62,0.9,31.65,26.16,3.64,3.36,4.7,,0.19,2.46,14.49,5.98,32.1,12.6,6.54,0.31,0.32,6.9,0.11,0.99,6.92,2.46,8.6,16.38,,1.83,21.46,27.85,3.83,,,1.25,,2.28,3.77,11.47,7.85,0.58,0.14,,,,,14.49,0.91,,,,,4.22,14.38,1.24,0.83,,0.22,3.79,11.26,9.28,37.17,,6.52,,7.03,28.85,,,7,13551493187.000002,Food Retail,Retail Trade
ACIW,83.8,58.8,,2.6,5.9,,7,21.8,,142.28,6.8,52.45,,37.78,57.39,3.79,,0.26,0.17,56.66,1.56,,21.51,50.45,2.07,0.77,,,,18.54,13.85,24.57,,15.21,3.96,4.24,5.39,0.43,17.25,4.7,,28.63,13.07,31.06,7.94,34.12,52.2,4.73,,,14.04,,22.14,4.47,26.73,24.42,2.04,3.75,,1.24,1.88,,21.79,1.66,,1.45,,,19.09,24.4,2.36,1.68,,1.56,6.9,262.89,15.7,17.86,,8.99,,3.19,57.82,,,10,2556336665.0,Packaged Software,Technology Services
ACLS,,33.46,,0.9,22.7,,62.7,72,31,57.41,34.8,38.79,,,35.01,6.69,,2.3,13.15,73.51,4.45,183.28,30.95,67.21,0.16,0.05,,,,7.13,6.74,10.71,,7.08,1.69,1.75,14.03,0.73,16.36,7.36,,14.94,25.12,,,114.1,44.28,44.08,,,20.65,,21.88,2.45,10.87,10.87,0.22,2.2,,,,,13.72,0.64,1.09,0.99,11.02,3.15,12.47,13.47,0.43,1.01,2.45,3.29,17.31,67.54,25.93,24.8,,28.79,,2.55,23.34,,,9,5489377800.999999,Industrial Machinery,Producer Manufacturing
ACM,17.91,68.09,2.78,2.5,,,13,17,11,,9.8,79.99,0.75,17.4,71.69,2.47,,0.25,0.52,116.74,1.13,,56.38,59.69,2.8,1.39,,0.19,0.75,18.72,15.62,23.89,15.45,13.78,2.2,1.05,5.34,0.18,4.4,4.58,0.89,22.88,9.89,11.6,,101.52,6.73,4.98,,,2.5,,5.74,7.08,39.44,25.83,2.66,1,,,,,22.66,1.15,,2.06,,,19.39,48.44,4.25,2.08,,1.13,3.46,112.49,16.41,18.05,,11.41,,3.14,171.68,,,7,11643339642.999998,Engineering & Construction,Industrial Services
ACN,8.53,54.05,6,0.4,13.6,13.6,5.4,10.7,1.4,10.85,9.3,59.88,2.59,19.87,55.73,7.44,,0.26,1.22,362.16,1.1,,20.51,69.84,0.37,0.15,,0.43,1.47,23.16,20.2,26.24,21.23,17.29,3.3,3.48,4.32,0.51,13.27,3.81,1.63,28.21,13.16,8.98,7.11,330.92,32.61,162.73,,,11.19,,14.79,8.01,31.69,30.28,3.26,3.53,,1.46,1.16,,26.64,1.09,8.45,1.26,,,25.18,38.47,3.17,1.76,53.1,1.1,13.75,236.59,27.79,26.8,,19.63,,2.61,39.24,,,10,207617355910.0,Information Technology Services,Technology Services
ADBE,,53.65,,1.7,9.4,,17.7,16.7,11.4,,16.8,52.11,,1.74,54.34,12.32,,0.78,1.24,513.68,1.11,,49.25,33.27,0.78,0.42,,,,33.33,29.63,35.08,20.87,19.49,9.65,10.97,3,0.49,31.27,2.9,,24.98,19.19,13.4,10.79,583.55,88.66,51.2,,,25.59,,35.93,15.71,43.39,28.73,1.34,11.15,,0.92,1.14,,35.55,0.88,18.29,0.87,,,34.57,50.57,1.73,2.28,262.08,1.11,18.17,291.22,33.73,34.74,,22.82,,2.94,64.45,,,10,241068062221.0,Packaged Software,Technology Services
ADC,29.09,61.85,3.2,,5.9,6.7,5.7,1.7,14.6,3.33,5.9,71.11,5.23,26.5,65.27,1.85,,0.08,0.01,77.65,0.74,,573.52,54.1,5.08,0.51,,1.67,3.82,37.73,21.25,25.52,32.63,19.66,17.06,18.64,2.65,0.65,73.03,5.2,3.88,42.3,11.57,2.17,11.31,74.08,87.94,2.87,,,31.62,,48.86,1.57,42.9,43.55,7.02,12.96,,3.77,1.4,18.33,17.83,1.05,1.91,1.04,,,17.83,,6.59,1.1,1.88,0.74,2.41,,3.83,3.64,,3.69,,,34.82,,,10,5725111028.0,Real Estate Investment Trusts,Finance
ADEA,24.51,49.1,,,,,,,,13.28,,50.88,0.3,2.88,49.25,1.91,,1.25,0.17,12.04,3.42,,,38.31,2.94,1.41,,0.19,1.65,17.82,9.8,13.64,,,4.78,5.18,5.61,0.35,37.93,9.91,1.65,8.82,14.32,,,9.3,,1.91,,,12.01,,30.96,3.48,33.44,11.25,3.63,3.96,,,,,10.42,1.29,,1.9,,,9.39,14.25,,0.62,,3.42,3.78,475.57,9.9,11.55,,10.09,,10.25,92.62,,,5,1062196184.9999998,Packaged Software,Technology Services
ADI,25.25,47.23,,,30.2,11.6,25.1,26.1,12.4,8.32,17.3,51.82,2.96,,48.86,5.55,,0.79,0.31,217.17,1.69,139.48,41.5,48.27,1.9,0.23,,0.81,1.67,54.3,27.12,38.68,28.14,21.69,10.83,12.09,1.84,0.72,33.12,2.9,1.71,29.09,17.65,11.55,,152.13,57.85,7.22,,,17.07,,23.16,3.06,66.01,64.67,5.3,11.13,,2.71,1.82,,36.77,1.43,,1.63,,,27.17,34.3,3.33,1.78,,1.24,3.39,48.07,4.69,4.66,,4.47,,1.8,50.98,,,10,90112565563.0,Semiconductors,Electronic Technology
ADM,,51.21,,2.6,9.4,7.7,25.1,24.8,,89.18,15,73.93,4.82,,58.89,3.13,,0.04,0.07,54.37,1.4,50.57,24.48,21.74,2.74,0.52,,0.39,3.67,12.03,8.75,10.28,13.83,9.62,0.42,0.42,8.31,0.42,4.05,13.56,3.67,10.83,23.04,,,78.12,7.08,3.58,,,2.07,,2.85,1.18,15.45,11.01,0.6,0.31,,,,,7.93,0.7,0.92,0.78,,,5.48,7.42,0.57,1.42,1.74,0.84,3.34,14.4,8.6,7.7,,4.13,,15.96,11.92,,,10,42539663009.00001,Agricultural Commodities/Milling,Process Industries
ADNT,,41,,3.5,,,,,,,4.5,40.6,,,40.51,1.75,,0.26,0.39,19.26,1.11,21.21,66.18,45.49,3.67,1.13,,,,9.55,4.71,11.17,8.01,4.38,0.22,0.21,10.47,0.23,1.89,16.95,,9.66,25.92,30.81,,37.64,6.32,2.09,,,0.12,,2.72,0.77,83.74,10.48,0.54,0.12,,,,,6.11,0.51,,,,,3.15,9.53,0.51,0.58,,0.9,0.19,23.38,5.76,0.85,,4.79,,20.18,,,,5,3590797312.0,Auto Parts: OEM,Producer Manufacturing
ADP,25.66,65.1,4.83,1.2,,13.8,15.3,15.1,13,13.01,9,68.35,3.18,15.69,65.82,3.13,,0.19,0.79,306.92,1.01,,3.27,65.98,1.56,1.75,,0.59,1.82,23.51,21.31,31.26,23.78,21.96,6.25,6.91,4.25,0.11,22.11,3.26,2,30.83,14.8,8.76,7.46,269.76,42.56,9.92,,,20.87,,21.92,23.39,32.76,32.55,2.69,6.85,,1.6,1.76,,30.89,1.14,10.48,1.34,,,27.03,44.47,2.6,3.1,75.78,1.01,7.01,518.83,59.25,86.24,,6.18,,1.74,46.08,,,10,101064499899.00002,Data Processing Services,Technology Services
ADSK,41.42,42.8,11.3,0.9,25.4,,21.7,23.3,,,14.2,23.84,,33.11,35.67,6.14,,0.43,0.72,290.64,0.64,,94.05,32.85,1.8,1.05,,,,53.25,48.15,64.79,35.29,33.38,10.13,11.64,1.88,0.25,21.04,2,,31.68,22.15,11.66,11.55,259.18,90.8,1291,,,18.21,,22.24,25.32,57.67,39.38,0.72,10.83,,,,,58.81,1.12,,1.04,,,54.24,140.91,1.42,2.86,,0.64,11,369.7,23.5,57.58,,9.97,,0.45,240.2,,,6,45606470933.0,Packaged Software,Technology Services
ADT,36.1,57.74,5.77,,3.7,,,,,,,65.44,2.64,9.14,60.07,0.44,,0.08,0.01,7.66,0.81,70.1,85.15,27.53,4.22,1.98,,0.38,2.64,29.85,7.91,13.1,,5.17,2.87,2.81,3.35,0.24,21.42,16.19,2.9,9.53,7.12,26.05,2.58,6.8,78.76,1.95,,,17.19,,20.04,1.79,7.98,14.7,,1.42,,,,,6.63,1.13,,,,,3.98,5.31,,0.61,,0.64,5.45,14.81,3.29,24.01,,10.07,,32.56,,,,3,5285531149.0,Miscellaneous Commercial Services,Commercial Services
ADUS,43.76,42.91,,,9.9,,22.2,30.1,,18.33,10.6,41.52,,14.65,42.48,8.5,,1.41,4.48,121.29,2.11,,11.17,35.23,0.41,0.05,,,,19.46,17.21,16.48,13.39,12.03,1.43,1.84,5.14,0.82,11.15,5.75,,20.75,23.71,12.51,12.28,102.47,32.28,12.12,,,6.5,,9.15,2.32,27.76,23.42,1.25,1.84,,0.97,0.52,,16.63,1.18,3.41,1.17,125.04,17.25,15.43,19.12,1.2,1.2,11.14,2.11,6.89,155.12,11.61,9.24,,9.02,,2.95,49.3,,,10,1355869330.0,Medical/Nursing Services,Health Services
AEE,13.35,69.01,7.53,,6.5,8,7.3,6.3,10.2,5.28,6.9,79.9,3.83,23.07,72.87,0.91,,,,94.98,0.63,73.28,83.66,27.63,5.15,1.54,,0.61,2.77,22.12,12.25,,19.75,11.37,5.2,5.95,4.52,0.27,,,2.8,19.27,1.54,7.76,3.78,82.22,49.45,2.94,,,15.52,,25.95,2.14,22.35,22.12,4.02,3.51,,1.61,,,,1.16,1.48,1.33,,,10.21,,3.19,,2.22,0.41,2.73,5.71,5.17,9.9,,3.91,,,23.98,,,10,21222279644.0,Electric Utilities,Utilities
AEHR,,43.88,15.06,,99.7,,,,,52.85,46.7,45.7,,45.7,44.38,10.11,,2.45,5.64,11.73,6.03,461.76,71.29,51.67,0.87,0.06,,,,52.51,41.53,,,,,5.48,1.9,0.84,,,,39.14,,,24.38,21.09,50.48,,,,49.64,,10.43,2.83,11.97,10.76,,5.9,,,,,,0.56,1.29,2.23,23.94,4.99,1954.99,19.62,,3.38,3.46,3.24,25.04,13.84,5.89,29.87,,34.92,,,,,,4,1353850723.0,Electronic Production Equipment,Electronic Technology
AEIS,11.13,55.87,,0.9,13,,,,,,6.1,51.81,0.34,,54.85,4.53,,2.25,0.99,114.57,4.62,139.39,54.35,65.57,5.33,0.57,,0.11,0.34,79.44,35.58,59.91,,12.08,2.79,3,1.26,0.53,5.01,1.71,0.34,22.97,15.11,,,85.3,35.16,2.31,,,2.91,,4.34,3.71,100.5,31.39,2.34,2.9,,1.61,3.8,,58.13,1.34,2.89,1.03,,13.61,32.55,89.6,2.48,1.77,5.99,3.32,1.74,8.27,2.59,3.75,,8.16,,,40.63,,,9,3937546139.0,Electronic Production Equipment,Electronic Technology
AEO,15.26,48.57,,,10.5,45.5,,,66.4,90.5,5.8,61.07,2.35,,53.25,4.03,,0.24,0.15,18.58,1.57,75.18,28.64,16.47,1.99,0.78,,0.29,2.7,10.52,6.88,15.56,9.02,6.25,0.82,0.84,9.51,0.48,5.42,8.23,2.7,9.61,1.26,11.57,3.38,18.03,39.18,,,,4.58,,8.01,2.11,14.86,11.19,,0.68,,,,,12.41,1.03,1.12,0.83,,,7.74,22.84,,1.19,2.5,0.74,7.04,18.72,16.01,14.43,,11.24,,13.34,16.59,,,9,3043221255.9999995,Apparel/Footwear Retail,Retail Trade
AEP,25.02,59.31,,,5.1,5.9,3.4,0.9,1.3,4.72,6.7,81.46,4.69,10.36,67.04,0.91,,0.04,0.01,99.89,0.57,84.7,104.49,18.81,5.79,1.66,,0.71,3.54,22.49,12.66,,17.36,11.02,4.37,4.93,4.45,0.27,,,3.7,17,1.21,12.97,4.81,93.54,61.23,2.17,,,13.46,,20.61,2,20.14,20.06,3.65,2.71,,,,,,1.07,1.34,1.16,,,8.28,,,11.75,2,0.41,2.7,5.48,4.94,10.22,,4.35,,0.73,21.25,,,10,41234689544.0,Electric Utilities,Utilities
AER,42.48,59.92,0.97,,6.4,,,5.5,,3.17,,63.8,0.76,3.17,62.41,0.75,,2.25,0.08,99.09,4.5,5.24,57.13,3.06,10.49,2.89,,0.05,0.76,30.89,13.8,,15.95,9.39,7.73,8.15,3.24,0.23,,,1.01,8.17,,12.74,2.68,84.48,32.61,,,,32.41,,26.37,1.12,8,10.17,,2.51,,,,,,1.17,0.77,1.47,,,3.54,7.67,,1.66,1.31,4.45,3.53,3.38,2.94,15.15,,2.69,,11.27,15.46,,,8,14432429370.0,Finance/Rental/Leasing,Finance
AES,0.3,31.74,,,,5,,6.9,,,7.2,38.92,6.79,,33.27,0.41,,0.16,0.07,12.99,0.85,25.49,94.7,48.4,11.13,8.95,,0.3,5.32,25.5,13.76,,9.71,7.91,2.08,2.96,3.92,0.07,,,5.32,6.35,,6.58,3.94,21.5,19.44,1.43,,,8.34,,17.25,2.81,9.02,5.6,,0.77,,,,,,0.6,1.51,0.79,,,3.86,,,,9.08,0.8,2.2,4.62,3.9,35.23,,17.84,,,,,,6,11544405347.0,Electric Utilities,Utilities
AESC,,35.93,,,,5,,6.9,,,7.2,31.65,,,33.55,0.41,,0.16,0.07,62.61,0.85,25.49,94.7,48.4,11.13,8.95,,,,25.5,13.76,,,,,2.96,3.92,0.07,,,,6.72,,6.58,3.94,0.0,19.44,1.43,,,8.34,,17.25,2.72,8.74,5.42,,0.73,,,,,,,,,,,3.75,,,,,0.8,2.2,4.62,3.9,35.23,,17.84,,,,,,6,11544405347.0,Electric Utilities,Utilities
AESI,17.75,65.2,,,14.3,,129.9,,,49.89,64.1,75.06,3.85,,69.76,2.41,,0.3,0.16,23.42,1.23,16.62,48.15,58.05,2.21,0.47,,0.99,3.85,22.67,13.41,,,6.9,2.53,3.25,4.41,0.53,,,4.13,12.1,,,25.7,0.0,26.47,4.92,,,8.78,,15.35,2.47,29.92,27.23,,2.75,,,,,,,1.9,,,,9.25,,,,2.99,1.08,4.84,10.74,8.84,10.25,,8.11,,,,,,3,2304000047.0,Construction Materials,Non-Energy Minerals
AFYA,,48.38,,1.2,12.1,,32.7,10.6,54.7,11.9,37.5,49.29,,,48.17,2.27,,0.9,0.27,16.73,1.6,0.45,126.67,62.76,2.29,0.76,,,,10.58,7.87,11.43,8.73,6.84,2.92,3.16,9.45,0.47,27.65,11.2,,10.01,26.78,35.25,6.16,18.53,62.43,2.75,,,18.26,,29.03,2.03,13.62,14.79,0.35,2.51,,,,,9.12,0.9,,,,,6.25,11.71,0.59,0.77,,1.6,7.26,66.82,13.65,15.16,,12.45,,1.12,,,,7,1469574000.0000002,Other Consumer Services,Consumer Services
AG,32.7,40.18,32.47,,9.1,,,,,,8,31.18,0.29,6.97,35.9,1.78,,1.86,0.94,6.14,3.03,51.44,36.36,8.18,2.7,0.17,,,0.29,,21.56,,,,3.43,3.53,,0.7,,,0.31,23.62,18.74,,5.53,5.93,11.66,,,,,,,1.4,,,,3.54,,,,,,1.04,,0.91,,,20.77,,,4.99,1.4,2.45,,,,,,,,,,,,2,1664184423.375635,Precious Metals,Non-Energy Minerals
