Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,,58.15,1.5,7.9,7.7,13.5,33.2,24.7,10.5,55.57,1,,59.64,6.67,,0.85,0.65,139.04,2.15,117.53,51.55,70.14,1.53,0.41,,0.17,0.67,29.25,24.75,26.95,24.77,21.69,6.08,6.29,3.42,0.57,23.33,3.79,0.68,24.15,15.85,5.44,2.44,135.36,50.63,14.64,,,18.84,,19.54,6.52,32.87,26.14,2.18,6.21,,0.76,1.53,,26.64,5.07,1.23,,,21.61,32.55,1.98,2.09,22.1,1.64,11.49,63.42,15.6,20.99,,14.11,,2.72,45.57,,,10,33913792728.0,Medical Specialties,Health Technology
AA,20.34,25.12,1.4,10.2,,,,,5.9,17.99,1.37,38.45,20.98,1.19,,0.44,0.55,29.47,1.55,79.98,58.53,26.31,10.94,0.65,,,1.36,,39.84,,23.65,8.54,0.85,0.87,,0.27,,,1.36,243.9,,,2.82,39.6,8.14,,,,,,,1.45,,,,0.53,,,,,,,,,,17.11,,,1.3,1.36,0.92,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,31.15,,10.4,,,,,27,21.66,,,28.38,0.65,,0.34,0.21,9.64,0.6,20.92,21.96,14.01,19.76,,,,,18.7,18.7,,18.89,8.59,0.7,0.7,5.35,,,,,7.56,,,4.05,16.85,20.23,1.4,,,,,5.34,,,9.96,,0.12,,,,,,,0.29,,,3.11,,,,,0.5,,5.17,4.89,,,12.18,,49.41,7.21,,,8,8696254174.0,Airlines,Transportation
AAON,20.8,49.29,,26.3,8.1,29.5,31.8,,29.5,39.44,0.56,17.02,45.68,18.92,,,,85.76,2.99,98.09,12.85,43.47,0.35,0.14,,0.15,0.37,31,25.49,69.74,,,,6.14,3.23,0.73,10.92,1.8,0.37,,20.57,18.4,10.79,77.8,36.27,88.05,,,15.61,,20.32,9.52,39.94,39.94,1.59,6.01,,2.01,4.52,,56.42,4.56,1.19,,46.11,31.65,49.4,1.55,6.31,12.1,1.7,19.5,39.13,29.71,25.86,,21.83,,0.63,78.32,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,46.68,3.6,,26,,,,8.9,43.8,35.27,,47.32,1.29,,0.09,0.11,61.05,1.22,265.7,210.84,26.55,9.72,1.55,,3.26,1.64,71.04,17.5,15.21,19.32,10.51,0.63,0.64,1.41,0.21,4.18,12.95,1.64,16.75,6.57,102.47,1.3,163.68,39.77,1.15,,,0.14,,0.85,1.42,88.48,88.48,,0.32,,,,,7.72,3.8,0.28,,,5.41,12.01,,0.53,3.67,0.29,0.13,1.96,1.42,0.62,,1.21,,,8,,,10,3557510972.0,Specialty Stores,Retail Trade
AAT,,64.75,,,9.7,8.1,22.2,18.4,8.5,58.6,6.39,,63.44,0.72,,1.45,0.07,25.73,2.68,,145.05,6.23,6.61,1.42,,1.49,5.17,23.45,12.36,25.91,,,,7.11,4.26,0.4,27.44,7.8,5.21,,7.31,,2.7,29.12,62.62,1.87,,,15.39,,27.37,1.31,28.91,28.91,12.57,4.42,,2.32,1.29,11.06,16.09,1.3,0.56,,,10.26,19.98,,1.15,1.31,2.68,2.29,610.56,4.65,5.7,,4.29,,3.37,32.13,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,11.1,69.97,,,7.8,9.6,49.1,7.4,3.8,75.44,5.27,,72.97,1.96,,0.44,0.24,189.29,0.94,72.03,65.71,76.29,4.7,9.24,,0.57,3.24,41.73,24.8,17.82,15.77,15,7.03,7.09,2.4,0.05,39.8,6.55,3.28,17.61,23.64,7.38,4.98,142.81,62.76,6,,,9.71,,24.95,41.74,63.1,17.69,1.14,6.1,,0.72,0.46,,15.32,,1.4,,,14.79,22.53,0.98,1.65,,0.83,3.87,188.7,9.07,47.16,,9.28,,4.58,41.2,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,42.25,,8.7,,,,,,28.05,,,39.03,2,,6.66,9.48,2.92,7.76,,,342.96,,0.07,,,,,,,,,8.29,6.54,,0.77,,,,,,,31.92,1.23,,,,,,,,0.76,,,,23.55,,,,,,,,2.35,1.78,,,,,0.89,7.75,,,,,,,,,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,41.67,,2.2,20.8,5.4,3.2,9.8,11,38.3,11.53,,40.2,3.5,,0.44,4.44,2.07,1.11,98.87,188.94,24.71,0.13,0.04,,0.77,7.29,9.5,7.01,8.59,8.58,6.55,2.06,2.2,10.53,0.66,25.4,10.79,7.29,12.77,15.11,5.39,6.5,2.69,50.83,7.78,,,17.86,,24.2,1.96,12.92,12.35,2.52,2.33,,,,,9.33,1.58,0.43,,,7.25,10.23,1.68,0.69,4.5,0.78,10.57,67.86,19.1,16.5,,16.34,,6.5,11.5,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,0.95,43.68,,50.3,,28.2,37.8,,24,28.42,,6.58,38.3,2.7,,0.01,0.01,235.35,1.06,41.41,16.44,4.01,5.01,1.53,,,,10.32,9.61,100.12,10.89,10.04,0.56,0.64,9.69,0.33,0.64,2.07,,8.06,31.2,,8.9,256.63,18.22,5.43,,,3.68,,6.86,1.42,8.58,7.48,0.23,0.32,,0.22,3.94,,49.16,,1.08,,,15.21,127.7,0.3,0.52,,0.38,6.33,26.89,13.18,17.8,,9.59,,,12.93,,,10,4632090814.999999,Specialty Stores,Retail Trade
ABM,10.32,65.41,2,8.4,5.9,40.8,24.6,,11.1,48.88,2.04,21.67,62.97,3.1,,0.05,0.04,54.75,1.44,,,58.62,2.69,0.76,,0.28,1.63,11.76,9.2,13.74,11.82,9.55,0.57,0.58,8.5,0.37,4.23,10.11,1.64,14.95,26.17,,2.09,50.7,,4.81,,,3.04,,4.88,1.86,14.33,17.44,1.08,0.43,,0.86,0.82,,10.29,,1.1,,,8.81,9.49,0.88,0.95,,1.44,5.04,65.99,10.75,13.69,,7.32,,2.46,27.98,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
ABNB,6.77,22.44,,38.3,,,,,8,7.92,,5.32,15.69,3.75,,0.78,5.4,128.24,1.44,,31.15,7.78,0.93,0.26,,,,33.63,32.91,17.25,21.28,18.26,6.43,7.07,2.97,0.32,40.97,5.15,,30.96,,,11.88,169.78,82.86,20.56,,,48.23,,15.86,10.34,17.17,17.17,,8.24,,,,,20.12,2.96,,,21.77,20,14.42,,,11.48,1.44,22.9,794.68,22.38,69.5,,64.25,,3.21,,,,2,92399740712.0,Other Consumer Services,Consumer Services
ABT,,67.35,0.7,6.3,12.3,6.8,6.7,,5.8,83.63,3.66,,73.47,5.24,,0.52,0.49,111.31,1.68,135.1,83.18,58.61,1.42,0.38,,0.48,1.94,28.28,19.42,35.59,21.68,18.72,4.81,4.94,3.54,0.54,13.88,2.92,1.98,23.87,12.95,8.17,6.35,106.31,55.24,10.7,,,13.65,,15.92,4.93,35.11,25.01,2.17,4.78,,0.79,1.63,,34.42,5.13,1.13,,,24.63,45.16,2.57,1.89,23.68,1.18,7.63,64.74,12.05,14.52,,10.37,,3.16,40.59,,,10,176555322492.0,Medical Specialties,Health Technology
ACA,7.29,35.48,,6.9,,13.2,4.1,,5.9,17.35,0.23,1.13,28.79,2.94,,0.24,0.15,79.12,2.31,71.3,47.91,58.17,1.84,0.29,,0.07,0.25,22.03,12.19,273.78,,,1.68,1.89,4.54,0.63,4.27,2.61,0.25,26.74,20.36,,,69.3,19.03,5.57,,,6.05,,7.68,1.6,27.1,28.98,1.43,1.58,,,,,38.3,2.09,,,,17.17,26.53,1.56,1.12,3.58,1.36,4.09,12.41,6.71,6.29,,4.98,,0.63,,,,9,3644941042.999999,Trucks/Construction/Farm Machinery,Producer Manufacturing
ACAD,,63.6,,,,38.8,40.9,46.1,16.4,55.07,,,61.98,2.3,,1.42,7.89,18.77,2.04,155.25,99.1,38.89,9.83,0.13,,,,,443.26,42.22,29.72,48.59,2.87,3.31,,0.54,7.83,2.05,,40,,,17.91,33.36,92.27,,,,,,,6.67,,,,3.81,,,,,48.88,,,39.1,10.91,48.88,1706.27,,,8.73,1.86,,,,,,0.28,,,,,,,4047377469.0,Pharmaceuticals: Major,Health Technology
ACHC,,60.79,,12.2,,,16.9,,10.9,67.55,,,64.03,2.23,,0.14,0.04,72.37,1.18,18.83,519.12,44.07,8.34,0.67,,,,90.27,36.42,,14.47,11.5,2.68,2.82,1.11,0.52,,,,20.96,,15.49,9.88,85.69,96.46,5.51,,,,,17.58,2.25,,20.27,,2.17,,,,,,3.11,0.98,,,62.71,,,2.13,10.74,1.17,,3.96,2,,,,,,225.33,,,7,6460318360.000001,Medical/Nursing Services,Health Services
ACHR,,43.66,,100.9,,,,,,24.91,,,36.67,,,5.78,,,6.01,,,,,,,,,,,,,,199.73,,,,,,,,,16.47,,,,,,,,,,3.39,,,,,,,,,,,,4.67,4.42,,,,,3.41,6.01,,,,,,,,,,,,,1649497955.0,Aerospace & Defense,Electronic Technology
ACI,,50.52,,18.8,33.9,6,,,4.2,51.48,2.41,,51.08,3.6,,0.04,0.02,19.96,0.88,31.49,25.97,3.45,3.24,4.86,,0.18,2.4,13.38,5.82,30.6,11.03,6.16,0.32,0.32,7.47,0.11,1.05,7.18,2.4,8.17,19.56,,1.65,21.79,27.84,3.99,,,1.41,,2.43,3.97,10.4,7.62,0.56,0.15,,,,,14,,,,,4.17,12.46,0.85,0.77,,0.21,4.28,12.32,10.22,45.12,,6.91,,4.53,30.76,,,7,13551493187.000002,Food Retail,Retail Trade
ACIW,72.67,69.3,2.6,5.9,,7,21.8,,6.8,68.29,,32.43,69.09,2.79,,0.15,0.15,44.85,1.32,,22.1,60.56,2.39,0.84,,,,21.3,14.24,22.58,,14.59,3.56,3.77,4.69,0.37,13.85,4.36,,24.75,13.76,23.83,6.2,31.9,50.71,3.86,,,12.01,,19.46,3.8,33.22,25.92,2.16,3.17,,1.2,1.89,,23.69,,1.23,,,16.72,21.55,2.29,1.4,,1.32,5.59,174.23,13.31,14.81,,7.6,,3.26,48.83,,,10,2556336665.0,Packaged Software,Technology Services
ACLS,,33.21,0.9,22.7,,62.7,72,31,34.8,24.54,,7.29,28.97,8.68,,2.25,12.33,106.38,4.42,179.55,30.91,63.45,0.15,0.05,,,,10.49,10.11,19.41,,11.25,2.98,2.67,9.53,0.73,13,4.16,,,23.29,,,116.42,44.63,48.8,,,21.54,,23.4,3.71,14.65,14.65,0.3,3.16,,,,,24.33,1.55,1.47,17.82,4.79,20.4,24.37,0.59,1.55,3.71,3.26,19.31,74.1,28.93,28.19,,33.01,,1.7,35.78,,,9,5489377800.999999,Industrial Machinery,Producer Manufacturing
ACLX,55.7,38.24,,,,2.6,0.1,,,15.15,,,29.16,6.27,,5.32,6.57,55.31,5.46,,,75.9,,0.18,,,,,,,,,15.82,18.78,,0.64,,,,,,,8.1,0.0,,,,,,,,5.94,,,,20.94,,,,,,,,10.13,9.64,,,,,5.93,5.46,,,,,,,,,,,,,1598748014.0,Biotechnology,Health Technology
ACM,,48.22,4.6,,,0.1,22.9,46.8,7.7,34.35,0.96,,45.15,2.15,,0.19,0.44,88.2,1.06,,54.74,60.22,4.7,1.23,,0.15,0.95,33.83,23.51,19.64,12.67,11.04,1.73,0.88,2.96,0.19,4.48,5.73,1,17.1,7.04,13.08,6.91,95.46,6.56,4.98,,,,,5.49,5.45,,23.24,8.3,0.79,,,,,17.75,,1.83,,,15.23,64.15,,1.73,,1.06,,45.39,7.23,,,9.55,,4.55,140.12,,,7,11643339642.999998,Engineering & Construction,Industrial Services
ACN,,55.91,0.3,15.1,11.9,7.8,16.1,6.2,13.6,34.38,2.63,,50.16,7.16,,0.3,1.2,323.15,1.16,,20.04,71.1,0.43,0.17,,0.42,1.6,21.48,18.67,23.24,18.01,15.62,2.96,3.12,4.66,0.51,13.44,4.28,1.6,24.94,14.29,6.41,4.64,325.43,32.58,171.01,,,10.79,,14.2,7.3,29.59,27.2,2.43,3.19,,1.39,0.93,,23.76,6.89,1.14,,,22.51,34.2,2.63,1.6,39.31,1.16,13.46,227.4,27.32,26.23,,19.64,,3.19,35.78,,,10,207617355910.0,Information Technology Services,Technology Services
ACVA,5.33,33.04,,,,,,,30.6,15.09,,32.13,26.09,2.64,,0.79,2.73,15.88,1.62,,502.91,127.4,,0.27,,,,,,,,,3.92,4.74,,0.44,,,,529.62,,,28.84,17.07,50.08,,,,,,,5.7,,,,5.04,,,,,,,,,23.7,,,,,17.26,1.62,,,,,,,,,,,,,2506975976.0,Internet Retail,Retail Trade
ADBE,7.05,42.67,1.7,9.4,,17.7,14.1,11.4,16.8,30.11,,,36.5,12.34,,0.85,1.32,526.27,1.16,,49.57,33.69,0.82,0.41,,,,35.21,31.11,36.33,20.98,19.6,9.68,11.33,2.84,0.5,31.17,2.73,,25.58,20.72,13.83,11.16,581.86,88.24,58.8,,,24.86,,35.4,15.92,47.28,30.39,1.42,11.75,,0.88,1.1,,37.69,16.98,0.92,,,36.45,53.64,1.67,2.41,213.06,1.16,17.46,275.62,32.26,32.8,,22.15,,2.55,69.38,,,10,241068062221.0,Packaged Software,Technology Services
ADC,,80.03,,5.9,6.7,5.7,1.7,14.6,5.9,85.11,5.69,4.13,82.66,1.64,,0.07,,71.47,0.9,,535.71,52.31,5.24,0.52,,1.65,4.15,35.14,19.68,24.57,32.45,19.77,17.31,17.2,2.85,0.65,69.98,5.67,4.2,40,11.75,2.82,9.74,73.83,87.98,3.02,,,32.09,,48.78,1.44,39.71,39.77,6.41,12.22,,3.18,1.26,17.23,17.44,1.75,0.98,,,17.44,,6.06,1.05,1.73,0.9,2.43,,3.76,3.63,,3.67,,,32.1,,,10,5725111028.0,Real Estate Investment Trusts,Finance
ADEA,,35.33,,,,,,,,19.09,0.35,,29.01,1.65,,0.96,0.16,10.51,2.23,,,36.57,2.76,1.59,,0.26,1.9,15.09,7.98,11.37,,,4.02,4.53,6.63,0.32,39.85,12.4,1.9,8.98,21.55,,,7.95,,1.81,,,11.06,,31.03,3.26,30.91,13.58,4.38,3.35,,,,,8.39,,1.58,,,7.58,10.69,,0.54,,2.23,3.51,616.28,10.4,11.57,,9.33,,17.24,27.8,,,5,1062196184.9999998,Packaged Software,Technology Services
ADI,18.59,35.75,,30.2,11.6,25.1,26.1,12.4,17.3,24.06,3.08,18.81,31.09,5.28,,0.72,0.29,208.1,1.58,139.52,42.88,48.16,1.69,0.23,,0.58,1.71,42.23,22.9,35.56,22.76,19.01,10.03,10.41,2.37,0.72,29.28,2.97,1.77,26.25,18.4,15.55,,158.61,59.84,9.13,,,20.45,,25.76,2.93,48.62,34.23,2.81,9.95,,1.73,1.54,,33.98,,1.47,,,24.35,30.26,2.22,1.68,,1.13,4.37,59.43,5.61,6,,5.53,,2.54,49.06,,,10,90112565563.0,Semiconductors,Electronic Technology
ADM,,33.9,2.6,9.4,7.7,25.1,24.8,,15,13.95,4.2,11.56,25.89,3.26,,0.04,0.06,58.91,1.44,50.79,24.24,21.73,2.36,0.54,,0.35,3.23,10.02,7.82,12.43,11.97,8.79,0.44,0.44,9.98,0.42,3.56,11.22,3.4,10.83,22.3,,,78.53,7.44,4.48,,,2.93,,3.39,1.27,11.78,10.78,0.59,0.34,,,,,9.85,0.94,0.85,,,6.55,8.5,0.49,1.71,1.86,0.88,4.77,18.59,10.96,10.87,,5.18,,16.67,12.56,,,10,42539663009.00001,Agricultural Commodities/Milling,Process Industries
ADP,,74.72,1.2,,13.8,15.3,15.1,13,9.9,86.09,3.63,,81.29,2.58,,0.06,0.79,263.5,1.01,,2.97,62.22,0.64,0.82,,0.59,2.07,20.7,18.69,30.14,20.27,17.28,5.35,5.64,4.83,0.08,18.72,3.34,2.13,26.32,14.63,8.2,5.15,264.91,45.44,13.74,,,19.54,,25.85,23.65,28.92,28.7,2.37,5.66,,1.29,1.57,,30.19,12.64,1.18,,,26.1,46.09,2.39,2.58,125.48,1.01,6.8,497.94,59.7,91.62,,7.52,,3.12,40.65,,,10,101064499899.00002,Data Processing Services,Technology Services
ADSK,19.87,38.54,0.9,25.4,,21.7,23.3,,14.2,23.29,,,31.62,4.52,,0.49,0.76,231.37,0.69,,89.81,32.86,1.93,1.21,,,,41.72,37.23,50.64,38.99,35.34,8.34,8.94,2.4,0.22,17.66,2,,28.65,22.96,11.13,11.1,256.1,90.77,1210,,,17.66,,21.44,23.07,50.08,29.14,0.53,8.85,,,,,50.19,,0.85,,,46.18,145.7,1.17,2.48,,0.69,10.57,330.24,22.42,65.58,,9.75,,0.76,210.75,,,6,45606470933.0,Packaged Software,Technology Services
ADT,17.14,31.22,,3.7,,,,,,11.68,2.65,12.16,22.7,0.47,,0.03,0.01,6.93,0.75,99.17,116.01,32.51,3.42,2.03,,0.32,2.6,18.44,6.67,13.79,,5.23,2.9,2.67,5.42,0.24,17.97,14.96,3.17,10.92,12.46,31.03,3.2,6.83,81.58,2.1,,,13.82,,22.19,1.66,9.36,13.94,,1.34,,,,,6.9,,,,,3.65,5.19,,0.56,,0.59,4.07,28.19,6.32,18.83,,4.34,,27.99,,,,3,5285531149.0,Miscellaneous Commercial Services,Commercial Services
ADUS,22.12,51.26,,9.9,,22.2,30.1,,10.6,38.94,,31.24,47.25,6.41,,0.54,0.51,120.32,1.35,,11.08,38.32,1.34,0.21,,,,23.01,20.1,18.43,19.5,17.11,1.98,2.07,4.35,0.72,11.22,5.61,,24.08,23.74,12.15,11.93,108.38,32.14,8.42,,,6.04,,8.83,2.72,29.86,25.33,1.35,1.8,,0.95,0.47,,16.08,,1.21,,,14.86,17.15,1.22,1.27,,1.35,6.66,133.37,11.51,9.57,,8.9,,1.41,52.53,,,10,1355869330.0,Medical/Nursing Services,Health Services
AEE,,81.15,,6.5,8,7.3,6.3,10.2,6.9,92.53,4.34,3.01,86.96,0.87,,0.01,,82.53,0.67,74.06,86.49,26.35,5.01,1.54,,0.61,3.15,20.53,11.48,,20.82,11.65,5.01,5.48,4.87,0.27,,,3.25,17.89,0.8,7.48,4.38,86.44,50.31,2.97,,,16.28,,25.8,1.91,18.97,19.76,3.59,3.05,,1.32,,,,1.3,1.18,,,8.74,,2.82,,1.98,0.45,2.88,5.92,5.36,10.43,,3.89,,,20.98,,,10,21222279644.0,Electric Utilities,Utilities
AEHR,,43.21,,99.7,,,,,46.7,20.25,,,35.1,17.09,,4.68,7.93,14.39,9.31,357.33,69.43,54.67,0.54,0.06,,,,37.94,33.42,379.74,,,,5.77,2.64,0.87,1.52,0.24,,,,,24.21,24.26,49.15,,,,50.07,,15.22,3.74,12.85,11.99,,6.42,,,,,464.19,1.41,2.58,12.73,5.12,248.1,21.51,,4.57,3.74,5.75,31.03,24.62,10.7,37.59,,56.45,,,,,,4,1353850723.0,Electronic Production Equipment,Electronic Technology
AEIS,,39.81,0.9,13,,,,,6.1,29.97,0.39,0.57,35.92,3.59,,3.21,0.97,101.64,5.47,137.27,54.32,63.98,5.91,0.88,,0.1,0.39,36.66,22.35,34.58,,12.08,2.65,2.56,2.73,0.46,7.41,2.92,0.39,46.51,22.18,,,86.81,35.21,3.81,,,6,,5.38,3.29,42.35,25.73,1.92,2.54,,1.2,2.06,,34.23,2.47,0.89,,12.72,22.44,41.47,1.32,1.54,5.35,4.22,3.75,15.66,5.02,7.97,,7.79,,,35.21,,,9,3937546139.0,Electronic Production Equipment,Electronic Technology
AEM,35.07,58.7,,20.5,20.8,11.4,7.9,4,3.1,50.19,9.19,35.07,56.15,2.94,,0.52,0.47,75.12,1.51,106.42,52.57,0.4,0.72,0.1,,0.67,2.13,39.54,15.6,29.88,13.27,8.21,4.85,5.73,2.53,0.68,15.31,2.74,2.13,20.53,19.45,11.6,5.95,54.41,36.6,20.97,,,8.56,,29.57,1.9,81.42,32.4,1.27,5.24,,,,,36.26,1.73,1.21,,,12.87,38.12,1.62,1.85,2.4,0.76,2.16,5.78,4.54,3.17,,4.24,,1.92,51.63,,,9,24264092594.047283,Precious Metals,Non-Energy Minerals
AEO,34.16,43.09,,10.5,45.5,,,66.4,5.8,27.85,2.08,,39.22,4.16,,0.39,0.23,20.08,1.7,75.33,27.97,17.12,2.06,0.75,,0.3,2.37,12.37,7.82,12.82,10.25,7.04,0.92,0.93,8.08,0.49,7.25,9.79,2.49,10.86,0.74,11.53,3.69,17.78,38.98,418.66,,,4.12,,7.48,2.25,18.09,13.21,,0.75,,,,,10.18,1.25,0.91,,,7.16,17.9,,1.32,2.66,0.81,6.29,17.29,14.86,12.87,,10.26,,12.89,18.6,,,9,3043221255.9999995,Apparel/Footwear Retail,Retail Trade
AEP,3.69,85.92,,5.1,5.9,3.4,0.9,1.3,6.7,96.23,4.52,11.43,91.49,0.92,,0.04,0.01,101.78,0.65,83.79,105.01,18.99,5.86,1.7,,0.69,3.41,22.87,12.96,,18.8,11.86,4.63,5.02,4.37,0.26,,,3.46,18.12,1.5,13.39,4.72,93.37,60.67,2.21,,,13.49,,20.7,2.07,20.4,20.29,3.69,2.74,,,,,,1.37,1.2,,,8.88,,3.92,13.24,2.08,0.48,2.71,5.54,5.01,10.42,,4.34,,,21.94,,,10,41234689544.0,Electric Utilities,Utilities
AER,48.66,30.74,,6.4,,,5.5,,,13.79,0.28,20.39,23.04,0.76,,0.89,0.03,86.61,3.42,5.35,58.48,3.06,9.64,2.69,,,0.29,28.18,13.22,,15.95,9.39,7.73,8.06,3.55,0.24,,,1.15,,,9.73,2.97,72.84,34.83,,,,42.04,,28.67,1.01,5.72,8.88,,2.42,,,,,,0.77,1.35,,,3.4,5.36,,1.53,1.19,3.38,4.6,3.68,3.2,19.62,,2.94,,14.58,,,,8,14432429370.0,Finance/Rental/Leasing,Finance
AESC,,35.72,,,5,,6.9,,7.2,31.65,,,33.54,0.51,,0.19,0.06,62.61,0.97,26.58,87.18,46.9,10.74,9.24,,,,26.61,14.8,,,,,3.11,3.76,0.07,,,,8.98,,6.88,3.01,0.0,20.79,1.61,,,6.07,,18.51,3.94,23.79,8.4,,0.98,,,,,,,,,,4.83,,,,,0.91,1.68,4.94,4.08,27.42,,,,,,,,6,11544405347.0,Electric Utilities,Utilities
AESI,,35.87,,14.3,,129.9,,,64.1,21.57,4.39,15.46,30.67,2.29,,0.98,0.39,18.93,2.24,22.42,62.54,60.37,1.7,0.45,,0.42,4.38,10.27,8.38,,,6.6,2.14,3.63,9.74,0.55,,,4.65,11.79,,39.54,33.85,0.0,45.95,25.04,,,19.98,,35.36,1.95,10.53,10.53,,2.15,,,,,,1.06,,,,4.73,,,,2.41,2.05,9.67,25.04,18.9,32.76,,20.13,,,,,,3,2304000047.0,Construction Materials,Non-Energy Minerals
AFRM,65.33,37.2,,,,,,5.8,30.4,28.37,,,33.44,1.38,,14.67,0.32,25.78,56.68,,15.45,40.55,,2.44,,,,,,44.14,21.35,24.09,4.48,5.84,,0.29,13.24,3.5,,,,33.19,27.21,40.71,59.46,,,,,,,3.03,,,,3.74,,,,,28.52,,,,5.85,18.68,,,,3.84,56.68,,,,,,,,,,,,,7293861260.0,Finance/Rental/Leasing,Finance
AFYA,9.52,45.01,1.2,12.1,,32.7,10.6,54.7,37.5,27.66,,,39.78,2.29,,0.62,0.23,17.32,1.28,1.55,144.86,62,2.26,0.7,,,,10.63,7.89,11.11,13.17,10.07,3.85,3.12,9.41,0.5,28.12,11.13,,,25.84,37.76,7.19,20.11,61.88,2.28,,,16.04,,27.76,2.03,16.23,18.52,0.44,2.65,,,,,9.49,,,,,7.03,14.84,0.74,0.93,,1.28,6.21,64.41,13.31,13.65,,11.44,,,,,,7,1469574000.0000002,Other Consumer Services,Consumer Services
AG,,30.14,,9.1,,,,,8,16.84,0.35,21.88,24.55,1.34,,1.88,0.82,5.06,3.05,49.42,37.39,6.56,4.11,0.19,,,0.36,,27.97,,,,3.15,3.08,,0.69,,,0.36,,18.45,,5.53,5.84,8.95,,,,,,,1.11,,,,2.9,,,,,,,0.74,,,21.57,,,4.29,1.11,2.44,,,,,,,,,,,,2,1664184423.375635,Precious Metals,Non-Energy Minerals
AGCO,,31.26,0.2,16.3,20.1,25.7,36.4,,16.7,17.01,2.45,,26.37,2.37,,0.15,0.16,89.57,1.52,134.68,45.83,43.28,4.56,1,,0.09,1.3,17.89,11.36,11.72,11.75,9.64,0.8,0.75,5.59,0.3,6.4,12.86,1.3,11.2,27.14,,,131.44,26.24,14.69,,,3.13,,10.32,1.65,15.99,7.11,0.28,0.5,,,,,7.79,1.52,0.79,,,5.02,12.03,0.29,0.77,7.32,0.72,3.43,14.41,7.05,9.57,,13.45,,,13.86,,,10,9201222919.0,Trucks/Construction/Farm Machinery,Producer Manufacturing
AGI,34.17,60.09,,2,17.3,10.3,15.9,23.9,12.4,69.06,2.79,25.42,62.38,4.41,,1.73,956.31,17.42,3.04,140.5,93.05,12.32,,,,0.19,0.57,23.98,14.53,38.55,,,5.4,6.81,4.17,0.74,13.12,1.82,0.57,20.66,17,20.03,13.71,12.85,40.19,749.09,,,17.74,,33.47,2.3,34.65,33.87,1.95,6.34,,,,,52.05,1.82,1.63,,,13.18,26.6,2,2.37,2.3,1.97,5.01,10.11,9.2,6.81,,6.38,,0.42,,,,5,4919131767.945206,Precious Metals,Non-Energy Minerals
AGIO,61.86,43.72,6.9,36,,,,,,19.29,,82.11,35.12,12.22,,11.57,8.75,43.96,12.84,2136.75,1346.67,28.47,,0.09,,,,,,,,,36.26,67.05,,0.88,,,,,,,103.96,0.0,89.95,,,,,,,3.35,,,,83.57,,,,,,,,5.07,4.47,,,,,3.35,12.39,,,,,,,,0.53,,,,1,1454238439.0,Pharmaceuticals: Major,Health Technology
AGL,,45.17,,,,,,,49.4,31.76,,,40.62,2.2,,0.27,8.74,6.34,1.33,,94.58,95.84,,0.07,,,,,,,,,0.36,0.47,,0.3,,,,,,,27.87,56.17,1.41,,,,,,,3.78,,,,0.54,,,,,,,,,6.34,,,,,4.4,1.33,,,,,,,,7.67,,,,,7602789688.0,Medical/Nursing Services,Health Services
