Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,0.54,66.33,1.5,7.9,7.7,13.5,33.2,24.7,10.5,63.5,0.95,16.25,67.08,6.93,1.08,0.68,147.48,2.68,117.28,52.11,73.54,1.51,0.41,,0.18,0.62,30.92,26.05,26.7,26.56,23.29,6.41,6.54,3.23,0.57,24.48,3.82,0.64,26.88,16.4,9.5,3.58,142.5,50.56,14.22,,18.35,,19.42,6.98,35.11,28.8,2.4,6.47,,0.92,1.65,,26.42,5.58,1.31,,,22.22,32.45,2.07,2.23,24.3,2.04,11.42,62.86,15.64,21.32,,14.14,,2.21,50.23,,,10,33913792728.0,Medical Specialties,Health Technology
AA,,59.33,1.4,10.2,,,,,5.9,66.32,1.34,,63.31,1.02,0.31,0.49,30.44,1.45,86.07,58.94,24.77,12.36,0.45,,,1.31,,41.53,,16.02,5.95,0.6,0.61,,0.3,,,1.31,68.94,,,,40.32,7,,,,,,1.28,,,,0.51,,,,,,,,,,59.57,,,1.06,1.34,0.74,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,7.5,37.57,,10.4,,,,,27,17.77,,11.95,29.1,0.76,0.34,0.19,13.96,0.62,20.89,20.46,14.17,12.45,,,,,12.93,12.93,34.98,10.86,6.75,0.76,0.8,7.73,,2.29,13.21,,5.22,,17.44,4.15,19.68,22.37,1.87,,1.56,,7.6,,12.69,6.12,,0.18,,,,,7.02,,0.4,,,2.43,,,,,0.51,1.25,8.53,7.75,,,4.5,,32.04,9.38,,,8,8696254174.0,Airlines,Transportation
AAON,43.7,56.87,,26.3,8.1,29.5,31.8,,29.5,63.76,0.59,38.96,56.62,22.88,,0.01,82.45,3.23,98.85,15.62,46.26,0.18,0.07,,0.15,0.39,29.72,24.66,137.17,,,,5.8,3.36,0.78,4.23,0.73,0.39,,20.49,,,80.38,34.15,46.97,,15.2,,19.47,9.14,38.64,38.64,1.54,5.88,,2.13,12.09,,139.51,4.44,1.19,,33.11,43.28,78.75,1.79,6.75,11.48,1.54,19.75,39.21,30.05,27.34,,22.64,,0.51,82.74,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,79.18,3.6,,26,,,,8.9,90.12,59.01,8.07,84.71,1.87,0.09,0.13,81.77,1.2,267.62,213.38,25.65,9.72,1.59,,2.7,2.75,79.33,20.31,186.11,21.85,12.1,0.74,0.74,1.26,0.21,0.4,0.92,1.22,21.74,8.26,14,1.34,196.17,40.1,1.14,,0.17,,0.89,1.93,110.5,110.5,,0.43,,,,,110.2,5.06,0.37,,,17,,,0.68,5.2,0.29,0.15,2.06,1.5,0.72,,1.49,,,10.65,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,20.18,36.92,2.9,1.3,5.7,20.9,23.2,14.6,15.7,45.5,0.76,5.06,38.6,8.01,0.55,0.68,172.55,1.07,11.88,92.38,21.56,0.81,1.46,,0.15,0.56,22.23,20.32,25.26,22.4,20.5,6.95,7,4.5,0.21,27.71,4.01,0.56,26.46,21.43,12.46,2.63,178.4,45.03,40.5,,26.16,,30.76,36,26.88,26.88,1.59,7.03,,1.11,1.21,,25.35,6.56,1.76,,,23.28,26.9,1.47,2.01,36.02,1.02,29.33,279.4,57.36,159.97,,34.58,,3.81,40.69,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,16.84,44.29,,,9.7,8.1,22.2,18.4,8.5,48.68,7.73,6.9,45.15,0.62,0.84,0.05,21.17,1.94,,145.67,6.48,6.84,1.43,,1.57,6.26,22.3,11.66,27.6,,,,6.62,4.48,0.4,23.98,8.2,6.33,,6.41,,,33.04,62.84,1.88,,14.66,,27.6,1.08,25.2,25.2,10.96,3.66,,2.18,1.32,9.51,15.27,1.11,0.47,,,8.56,17.35,,0.98,1.1,1.94,2.15,576.18,4.53,5.34,,4.22,,3.36,27.51,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,14.62,53.71,,,7.8,9.6,49.1,7.4,3.8,38.81,5.49,16.09,47.96,2.07,0.34,0.22,177.88,0.87,69.9,59.2,76.32,3.46,5.73,,0.67,3.37,42.58,21.01,16.35,14.2,13.76,6.62,6.64,2.35,0.08,40.62,7.02,3.49,16.11,26.34,32.5,0.85,137.61,62.42,6.09,,8.95,,24.92,30.32,65.16,20.07,1.29,5.81,,0.9,0.47,,14.29,,1.33,,,13.81,24.49,0.97,1.5,,0.76,3.58,171.32,8.18,36.93,,9.52,,6.86,39.39,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,40.72,,8.7,,,,,,32.44,,,37.55,2.97,6.39,9.83,4.71,7.33,,,330.79,,0.07,,,,,,,,,8.29,18.3,,0.77,,,,,,,,1.41,,,,,,,1.19,,,,35.68,,,,,,,,3.23,2.56,,,,,1.39,7.32,,,,,,,,,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,40.35,,2.2,20.8,5.4,3.2,9.8,11,29.5,9.61,,37.93,3.28,0.4,4.67,2.5,0.89,106.25,196.84,24.3,0.14,0.04,,0.77,6.04,10.42,7.67,9.95,8.72,6.58,2.16,2.33,9.6,0.6,23.91,9.4,6.04,13.59,14.22,,5.85,3.15,50.72,6.73,,18.19,,23.76,2.52,13.74,12.99,2.65,2.51,,,,,10.69,1.92,0.44,,,8.1,12.2,2.05,0.76,6.41,0.67,10.71,61.69,18.14,17.21,,17.86,,5.68,12.43,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,11.06,49.49,,50.3,,28.2,37.8,,24,54.44,,,50.81,2.57,0.02,0.01,210.0,1.06,37.87,13.72,8,5.3,1.69,,,,10.05,9.39,56.9,10.21,9.42,0.55,0.66,9.95,0.32,1.15,3.98,,6.46,31.65,13.9,11.75,241.71,18.62,6.47,,4.07,,7.23,1.32,7.34,6.44,0.2,0.3,,0.21,2.31,,26.65,,1.02,,,14.28,83.33,0.26,0.49,,0.45,7.04,28.44,13.52,19.42,,10.24,,0.3,12.14,,,10,4632090814.999999,Specialty Stores,Retail Trade
ABM,,55.47,2,8.4,5.9,40.8,24.6,,11.1,59.76,2.58,2.47,57.76,2.94,0.05,0.04,42.31,1.48,,,60.22,2.73,0.8,,0.27,2.09,9.79,7.64,15.57,10.68,8.38,0.5,0.5,10.21,0.37,3.2,9.77,2.13,12.84,25.34,,1.9,52.02,,4.92,,3.15,,5.04,1.47,10.82,13.1,0.81,0.34,,0.71,0.93,,10.68,,0.87,,,8.88,9.66,0.72,0.77,,1.48,5.21,63.86,11.09,14.3,,7.6,,,22.48,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
ABNB,38.84,54.93,,38.3,,,,,8,41.1,,10.47,51.27,5.9,1.01,4.37,160.56,1.66,,30.09,8.04,1.03,0.28,,,,43.32,42.46,24.56,28.16,23.88,8.5,9.54,2.31,0.4,38.86,3.76,,35.14,,3.58,13,164.53,82.83,18.29,,48.32,,15.31,12.55,22.18,22.18,,10.71,,,,,27.71,3.7,,,25.41,27.49,18.97,,,13.89,1.66,24.12,820.81,23.88,72.17,,67.71,,2.25,,,,2,92399740712.0,Other Consumer Services,Consumer Services
ABT,16.2,43.01,0.7,6.3,12.3,6.8,21.3,,5.8,19.45,3.38,11.7,34.23,5.24,0.53,0.47,115.49,1.64,133.76,86.26,57.28,1.48,0.41,,0.49,1.8,28.59,19.8,41.26,22.55,19.57,4.98,5.2,3.5,0.53,12.61,2.52,1.9,25.13,16.05,0.9,1.81,106.87,55.19,10.17,,14.27,,16.15,5.19,35.43,27.74,2.41,5.04,,1.02,2.07,,39.89,6.36,1.24,,,27.8,41.44,2.14,1.86,32.81,1.16,7.8,72.21,12.35,15.31,,10.58,,2.79,44.31,,,10,176555322492.0,Medical Specialties,Health Technology
ACA,41.01,47.53,,6.9,,13.2,4.1,,5.9,37.45,0.25,12.19,43.83,3.18,0.24,0.18,81.6,2.12,68.99,45.13,58.86,1.48,0.24,,0.07,0.25,19.76,11.54,76.98,,,1.75,1.92,5.06,0.65,2.49,1.45,0.25,23.33,22.96,,7.05,65.51,19.23,6.5,,6.9,,7.92,1.7,25.03,29.34,1.45,1.72,,,,,69.04,2.2,,,,15.24,22.06,1.32,1.13,3.7,1.18,4.6,13.78,7.31,7.01,,5.02,,3.91,,,,9,3644941042.999999,Trucks/Construction/Farm Machinery,Producer Manufacturing
ACAD,26.85,23.64,,,,38.8,40.9,46.1,16.4,12.68,,1.86,18.83,2.54,1.73,7.67,18.48,2.42,137.65,138.21,40.3,,0.13,,,,,,159.46,17.58,26.1,2.75,3.67,,0.58,2.3,0.55,,28.41,,,21.01,31.39,94.27,,,,,,7.05,,,,4.18,,,,,188.57,,,24.97,10.15,188.57,,,,8.29,2.28,,,,,,,,,,,,,4047377469.0,Pharmaceuticals: Major,Health Technology
ACHC,21.53,34.68,,12.2,,,16.9,,10.9,17.9,,18.7,27.35,2.29,0.11,0.07,77.79,0.67,18.31,472.02,43.34,7.93,0.54,,,,151.13,45.36,224.54,14.37,11.4,2.66,2.93,0.66,0.52,1.3,0.53,,23.51,6.26,,10.37,84.53,96.38,6.25,,,,17.52,2.55,,22.13,,2.43,,,,,186.55,3.8,1.05,,,15.37,,,1.9,14.71,0.67,,2.53,1.24,,,6.77,,1.17,326.62,,,7,6460318360.000001,Medical/Nursing Services,Health Services
ACHR,99.63,53.01,,100.9,,,,,,62.97,,,57.22,,4.08,,,4.21,,,,,,,,,,,,,,223.54,,,,,,,,,,,,,,,,,,4.16,,,,,,,,,,,,5.52,5.23,,,,,4.15,4.21,,,,,,,,0.3,,,,,1649497955.0,Aerospace & Defense,Electronic Technology
ACI,7.96,45.84,,,,13.9,48,21.1,10.6,52.98,2.31,,49.03,3.54,0.03,0.02,20.8,0.85,31.8,26.09,3.33,3.19,5.83,,0.16,2.31,12.21,5.73,67.78,10.56,6.05,0.33,0.33,8.19,0.1,0.49,3.26,2.31,8,23,3.62,1.84,21.89,27.77,3.79,,1.71,,2.6,4.74,8.89,7,0.27,0.15,,,,,29.97,,,,,4.72,18.94,0.48,0.91,,0.19,5.02,14.24,12.08,73.94,,7.61,,,38.3,,,7,13551493187.000002,Food Retail,Retail Trade
ACIW,40.26,54.71,2.6,5.9,,7,21.8,,6.8,52.01,,35.26,53.9,2.29,0.16,0.15,31.78,1.36,,23.37,76.62,2.99,0.81,,,,18.99,11.92,32.84,,10.87,2.75,2.96,5.27,0.38,9,3.87,,19.29,16.14,,4.95,30.61,50.49,2.81,,8.37,,15.17,2.59,28.38,21.19,1.77,2.39,,1.08,2.29,,26.57,,0.93,,,20.62,33.31,1.8,1.06,,1.36,3.8,100.6,9.7,10.01,,6.05,,0.33,36.04,,,10,2556336665.0,Packaged Software,Technology Services
ACLS,,37.98,0.9,22.7,,62.7,72,31,34.8,29.59,,,35.68,7.76,1.78,11.2,107.61,3.79,162.49,34,59.97,0.15,0.05,,,,10.74,10.27,22.39,,11.25,2.98,2.7,9.31,0.68,12.05,3.88,,,22.89,,14.06,121.61,43.46,49.71,,21.78,,23.51,4.07,14.48,14.48,0.29,3.16,,,,,26.18,1.62,1.61,39.56,5.31,22.74,26.54,0.58,1.72,4.07,2.71,21.61,84.29,32.35,32.58,,38.22,,1.53,41.92,,,9,5489377800.999999,Industrial Machinery,Producer Manufacturing
ACLX,117.79,59.43,,,,2.6,0.1,,,58.29,,92.95,59.13,6.66,5.94,7.19,70.62,6.06,,,90.59,,0.2,,,,,,16.78,,,47.32,28.32,,0.59,168.73,4.99,,,,,,0.0,,,,,,,7.61,,,,30.97,,,,,17.82,,,10.19,9.81,16.04,,,,7.61,6.06,,,,,,,,,,,,,1598748014.0,Biotechnology,Health Technology
ACM,9.55,58.25,4.6,,,0.1,22.9,46.8,7.7,62.45,0.84,8.07,60.68,2.15,0.2,0.44,91.58,1.05,,54.73,61.01,4.81,1.21,,0.21,0.83,35.79,24.7,23.57,15.01,13.08,1.92,0.94,2.79,0.2,3.98,4.76,0.96,20.26,8.73,58.7,,81.17,6.54,5.01,,0.42,,5.51,5.54,203.51,25.33,9.05,0.85,,,,,21.41,,2.07,,,17.67,78.14,,1.81,,1.05,0.54,42.47,6.94,2.56,,9.39,,4.18,136.6,,,7,11643339642.999998,Engineering & Construction,Industrial Services
ACN,50.92,50.42,0.3,15.1,11.9,7.8,16.1,6.2,13.6,40.04,2.14,18.87,46.88,8.39,0.41,2.32,374.6,1.33,,20.67,69.65,0.29,0.12,,0.4,1.29,25.06,21.71,25.56,23.16,19.06,3.48,3.57,3.99,0.52,13.98,3.84,1.38,31.06,15.08,12.3,6.75,343.73,32.5,160.43,,10.65,,13.6,8.8,34.72,32.4,2.89,3.7,,1.81,1.14,,26.49,6.39,1.35,,,25.11,38.05,2.72,1.93,28.31,1.33,13.89,213.29,28.33,27.64,,20.55,,2.51,43.47,,,10,207617355910.0,Information Technology Services,Technology Services
ACVA,14.42,62.01,,,,,,,30.6,55.01,,,59.85,3.84,1.23,3.57,17.71,2.12,,500.24,126.62,,0.25,,,,,,,,,4.25,5.42,,0.5,,,,429.01,,,22.28,15.68,49.2,,,,,,6.28,,,,5.89,,,,,,,,,11.89,,,,,10.87,2.12,,,,,,,,,,,,,2506975976.0,Internet Retail,Retail Trade
ADBE,76.99,29.8,1.7,9.4,,17.7,14.1,11.4,16.8,17.4,,11.64,25.21,13.18,0.95,1.92,492.21,1.34,,51.51,36.2,0.52,0.25,,,,31.68,28.13,31.55,22.25,20.49,10.21,11.28,3.16,0.56,35.77,3.12,,27.47,22.57,15.1,11.31,579.68,87.87,58.85,,27.97,,34.26,13.56,41.68,35.46,1.66,11.65,,1.13,1.04,,32.56,11.6,0.92,,,30.96,43.58,1.63,2.34,85.31,1.34,19.31,290.37,34.43,36,,21.47,,2.07,70.58,,,10,241068062221.0,Packaged Software,Technology Services
ADC,,46.45,,5.9,6.7,5.7,1.7,14.6,5.9,49.47,7.03,,47.86,1.44,0.09,0.01,56.63,0.8,,516.77,50.06,5.2,0.46,,1.65,5.18,32.48,17.82,21.11,22.79,13.72,135.53,15.38,3.08,0.67,72.86,6.88,5.23,29.94,13.08,,,60.86,87.59,3.2,,31.62,,48.32,1.13,33.12,32.1,5.18,10.06,,2.78,1.08,14.28,13.79,1.4,0.81,,,13.79,,4.78,0.86,1.36,0.8,2.34,,3.56,3.42,,3.55,,,26.31,,,10,5725111028.0,Real Estate Investment Trusts,Finance
ADEA,48.68,44.28,,,,,,,,50.05,0.33,24.32,44.69,1.78,0.82,0.14,11.15,2.02,,,39.32,2.51,1.67,,0.25,1.79,12,7.19,11.68,,,4.3,4.4,8.33,0.32,37.66,12.22,1.79,8.43,23.54,,,7.45,,2.33,,17.33,,37.44,3.36,18.9,13.94,4.5,3.24,,,,,8.61,,1.56,,,8.26,11.55,,0.58,,2.02,5.89,739.29,13.76,20.45,,11.86,,17.85,26.49,,,5,1062196184.9999998,Packaged Software,Technology Services
ADI,2.52,52.57,,30.2,11.6,25.1,26.1,12.4,17.3,47.7,3.19,5.28,51.94,5.33,0.45,0.19,195.2,1.51,135.78,43.38,47.51,1.26,0.2,,0.46,1.79,30.78,18.43,31.61,36.9,23,11.31,8.86,3.25,0.74,28.02,3.35,1.89,31.95,18.24,8.72,0.21,178.43,62.47,12.28,,24.34,,29.87,2.72,34.92,26.31,2.16,8.49,,1.45,1.5,,30.27,,1.26,,,21.57,26.11,1.74,1.55,,0.98,5.72,79.68,7.17,7.84,,6.96,,3.83,46.84,,,10,90112565563.0,Semiconductors,Electronic Technology
ADM,,67.35,2.6,9.4,7.7,25.1,24.8,,15,93.03,4.06,,81.05,3.46,0.07,0.14,59.31,1.6,54.59,25.95,21.61,1.6,0.4,,0.26,3.12,7.79,6.41,12.97,11.43,8.53,0.42,0.41,12.84,0.44,3.16,9.81,3.37,11.09,19.93,,,83.59,8,6.27,,3.71,,4.32,1.26,9.24,8.53,0.47,0.34,,,,,10.6,0.81,0.84,,,7.1,9.33,0.38,27.33,1.71,0.95,6.14,22.76,13.62,14.11,,6.91,,17.08,13.17,,,10,42539663009.00001,Agricultural Commodities/Milling,Process Industries
ADNT,,38.38,0.1,22.6,,89.8,,,6.1,20.82,,,32.09,2.03,0.28,0.39,32.58,1.15,22.66,64.76,44.66,3.04,1.12,,,,9.13,5.41,10.84,8.55,5.13,0.29,0.29,10.95,0.25,2.72,14.06,,12.2,,25.9,2.07,41.46,6.83,2.3,,1.39,,2.99,1.3,14.54,11.69,,0.2,,,,,7.4,,,,,4.65,11.48,,1.29,,0.91,2.27,35.35,8.59,9.62,,7.63,,11.71,,,,5,3590797312.0,Auto Parts: OEM,Producer Manufacturing
ADP,18.19,37.4,1.4,,10.8,13.1,11.6,16.2,8.4,23.62,3.95,2.75,29.85,2.29,0.03,0.5,242.09,1.01,,2.87,64.89,0.6,0.77,,0.6,2.19,20.44,18.36,29.82,19.02,15.8,4.99,5.72,4.89,0.08,19.19,3.41,2.31,24.04,14.74,9.01,7.41,262.6,42.37,11.09,,20.13,,21.44,23.02,28.18,28.08,2.13,5.67,,1.39,1.74,,29.57,13.99,1.22,,,25.39,46.55,2.33,2.69,156.19,1.01,6.55,468.47,59.97,98.92,,5.75,,3.36,39.9,,,10,101064499899.00002,Data Processing Services,Technology Services
ADSK,33.43,48.51,0.9,25.4,,21.7,23.3,,14.2,41.44,,22.45,46.05,4.65,0.52,0.86,254.27,0.82,,82.86,41.82,2.07,1.42,,,,48.56,43.23,43.75,43.68,39.5,9.07,9.96,2.06,0.19,22.78,2.3,,31.55,22.64,20.7,11.4,256.79,90.7,1128,,16.48,,20.52,29.32,60.4,33.37,0.61,9.98,,,,,43.84,,0.95,,,41.81,91.1,1.33,2.8,,0.82,9.69,298.41,21.13,68.79,,9.08,,1.76,260.31,,,6,45606470933.0,Packaged Software,Technology Services
ADT,,38.58,,3.7,,,,,,25.22,2.57,12.62,33.16,0.4,0.01,,6.26,0.68,71.99,87.8,30.02,4.06,2.08,,0.34,2.56,25.13,7.04,16.01,,5.23,2.87,2.4,3.98,0.24,15.02,14.74,2.56,,12.06,,,7.82,74.17,1.97,,8.17,,19.94,1.52,12.27,15.01,,1.02,,,,,6.86,,,,,3.51,6.84,,0.48,,0.52,2.69,16.27,3.6,13.58,,,,12.68,,,,3,5285531149.0,Miscellaneous Commercial Services,Commercial Services
ADUS,,54.47,,9.9,,22.2,30.1,,10.6,40.74,,12.22,51.7,4.77,0.45,0.37,96.76,1.38,,11.39,40.81,1.64,0.25,,,,18.18,15.77,16.35,15.46,14,1.47,1.59,5.5,0.69,9.71,6.55,,20.66,24.3,15,5.71,109.28,32.11,8.19,,5.91,,8.59,2.22,25.2,22.4,1.2,1.49,,0.92,0.49,,15.34,,1.01,,,14.05,16.61,1.11,1.07,,1.38,6.43,121.61,11.05,9.36,,8.72,,4.03,44.35,,,10,1355869330.0,Medical/Nursing Services,Health Services
AEE,,50.31,,6.5,8,7.3,6.3,10.2,6.9,37.98,4.94,,47.4,0.83,0.01,,71.58,0.65,63.37,83.86,27.23,4.85,1.45,,0.6,3.58,18.65,10.44,,18.03,10.09,4.17,4.74,5.36,0.28,,,3.74,15.55,,5.68,7.36,97.83,46.23,2.75,,15.36,,20.77,1.68,16.38,17.06,3.1,2.51,,1.24,,,,1.15,0.99,,,7.35,,2.93,,1.74,0.43,2.95,5.87,5.34,10.63,,3.43,,,18.94,,,10,21222279644.0,Electric Utilities,Utilities
AEHR,,34.4,,63.2,,,,,31.7,16.75,,,28.86,19.47,6.35,7.88,14.22,11.53,233.81,55.61,50.03,0.33,0.07,,,,19.26,18.54,57.23,,,,4.49,5.19,0.86,7.85,1.56,,,,,,31.05,50.65,,,25.77,,23.32,4.7,20.03,18.23,,5.16,,,,,66.14,1.95,2.35,11.2,5.27,51.9,72.18,,5.37,4.71,7.28,23,57.74,24.19,28.53,,52.84,,,,,,4,1353850723.0,Electronic Production Equipment,Electronic Technology
AEIS,9.74,37.86,0.9,13,,,,,6.1,22.56,0.41,,32.88,3.52,3.11,1.02,95.64,5.1,128.37,54.08,61.89,4.98,0.89,,0.08,0.42,25.52,17.26,23.98,,12.08,2.27,2.14,3.92,0.45,8.93,4.14,0.42,40.98,23.16,,,95.65,35.78,19.54,,7.75,,8.5,3.12,28.13,19.64,1.47,2.18,,1,1.59,,24.35,2.11,0.75,,11.93,17.25,24.8,0.89,1.33,5.11,4.1,5.83,21.34,7.5,11.59,,12.21,,,33.62,,,9,3937546139.0,Electronic Production Equipment,Electronic Technology
AEM,,70.65,,20.5,20.8,11.8,7.9,4,3.1,76.64,12.3,,75.73,2.44,0.32,0.17,55.94,2.09,107.83,53.92,0.46,0.5,0.1,,0.73,2.86,11.79,7.4,31.69,13.28,7.33,4.11,4.47,8.48,0.68,14.13,3.34,2.86,22.73,21.86,,3.58,51.65,33.23,13.32,,29.69,,26.12,1.45,13.5,25.56,0.99,4.16,,,,,29.38,1.45,0.99,,,10.59,11.91,1.02,1.53,1.84,0.74,7,11.61,9.28,10.3,,5.33,,0.5,40.75,,,9,24264092594.047283,Precious Metals,Non-Energy Minerals
AEO,68.87,55.21,,3.1,,,,,,54.18,1.28,45.75,53.44,4.33,0.51,0.38,23.16,1.61,73.44,28.27,15.98,2.04,0.68,,0.28,1.84,15.22,9.13,9.13,11.3,7.7,0.98,1.01,6.57,0.49,11.05,12.71,2.16,13.23,0.17,,4.67,17.32,38.48,222.07,,3.23,,6.93,2.63,26.93,15.26,,0.87,,,,,7.89,1.45,1.12,,,5.9,8.47,,1.45,3.12,0.89,4.91,15.2,13.07,10.16,,8.74,,13.8,22.44,,,9,3043221255.9999995,Apparel/Footwear Retail,Retail Trade
AEP,,49.38,,5.1,5.9,3.4,,1.3,6.7,28.52,5.53,1.65,43.39,0.81,0.05,0.01,82.11,0.53,75.18,108.41,19.58,6.06,1.73,,0.79,4.17,21.49,11.98,,17.01,10.64,4.07,4.55,4.65,0.26,,,4.29,14.62,0.58,8.35,7.03,96.72,58.62,2.08,,11.63,,19.78,1.71,19.41,19.25,3.5,2.25,,,,,,1.21,1,,,8.53,,3.53,44.38,1.71,0.36,2.32,5.32,4.85,9.04,,3.81,,,18.12,,,10,41234689544.0,Electric Utilities,Utilities
AER,50.12,76.41,,6.4,,,5.5,,,91.14,,26.28,82.62,0.74,1,0.04,85.83,3.73,5.07,59.78,4.99,10.24,2.81,,,,30.13,13.7,,15.95,9.39,7.73,8.23,3.32,0.23,,,,,,,,64.9,33.43,,,41.39,,27.31,1.05,6.17,9.84,,2.56,,,,,,0.74,1.5,,,3.68,5.5,,1.97,1.27,3.68,4.45,3.46,3,19.27,,2.77,,21.42,14.44,,,8,14432429370.0,Finance/Rental/Leasing,Finance
AES,,34.67,,,5,,6.9,,7.2,19.52,5.7,,30.04,0.43,0.19,0.07,15.01,0.68,30.19,73.93,49.06,10.54,10.8,,0.38,4.47,25.7,14.33,,18.69,11.24,2.87,2.89,3.89,0.06,,,4.51,7.86,,7.12,4.22,25.85,19.77,1.7,,1.97,,17.69,6.09,45.48,8.53,,0.83,,,,,,,0.92,,,3.48,,,,,0.61,0.6,5.35,4.24,9.91,,,,,,,,6,11544405347.0,Electric Utilities,Utilities
AESC,,35.72,,,5,,6.9,,7.2,31.65,,,33.54,0.43,0.19,0.07,62.61,0.68,30.19,73.93,49.06,10.54,10.8,,,,25.7,14.33,,,,,2.89,3.89,0.06,,,,7.86,,7.12,4.22,0.0,19.77,1.7,,1.97,,17.69,6.09,45.48,8.53,,0.83,,,,,,,,,,3.48,,,,,0.61,0.6,5.35,4.24,9.91,,,,,,,,6,11544405347.0,Electric Utilities,Utilities
AFRM,322.36,38.49,,,,,,5.8,30.4,30.28,,70.54,35.21,1.56,12.29,0.31,33.74,48.83,,14.68,41.18,,2.37,,,,,,446.6,31.03,32.77,5.4,7.65,,0.29,1.71,0.32,,,,,26.97,41.46,54.6,,,,,,3.91,,,,5.33,,,,,330.83,,,,7.81,63.55,,,,4.96,48.83,,,,,,,,,,,,,7293861260.0,Finance/Rental/Leasing,Finance
AFYA,83.87,60.8,,6.5,,24.4,19.9,26.5,26.8,71.12,,27.23,65.35,2.28,0.68,0.29,21.59,1.18,3.2,142.83,61.71,2.73,0.81,,,,14.91,11.15,15.52,13.17,10.07,3.85,4.33,6.71,0.45,27.92,7.78,,,24.06,,26.88,21.9,61.25,1.97,,12.98,,27.12,2.74,27.75,34.38,0.63,3.61,,,,,12.94,,,,,9.63,24.34,1.38,,,1.18,4.77,61.33,12.5,10.8,,9.96,,,,,,6,1469574000.0000002,Other Consumer Services,Consumer Services
AGCO,,58.16,0.2,16.3,20.1,25.7,36.4,,16.7,70.52,1.87,,64.57,3.43,0.14,0.39,116.43,1.46,122.38,46.12,39.04,0.9,0.33,,0.07,1,6.86,5.69,16.44,6.61,5.36,0.71,0.67,14.58,0.41,4.06,6.73,1,8.92,26.5,10.85,,155.9,26.21,24.95,,8.13,,11.91,1.86,7.45,7.68,0.3,0.61,,,,,14.83,0.99,0.96,,,7.88,10.43,0.31,0.73,2.88,0.67,10.63,38.57,20.48,27.67,,19.36,,1.88,16.8,,,10,9201222919.0,Trucks/Construction/Farm Machinery,Producer Manufacturing
AGI,10.45,64.48,,2,17.3,10.6,13.1,24.2,12.7,65.14,3.56,,67.69,3.33,0.96,589.71,13.59,2.36,148.57,91.98,14.67,,,,0.2,0.74,16.35,10.22,42.06,,,5.02,5.06,6.12,0.73,12.1,2.27,0.74,20.37,18.23,,4.58,10.68,37.68,126.42,,20.48,,31.08,1.86,25.86,28.02,1.6,5.29,,,,,43.94,1.47,1.35,,,11.46,28.9,1.58,2.08,1.86,1.27,5.46,9.48,8.74,7.4,,6.58,,0.73,,,,5,4919131767.945206,Precious Metals,Non-Energy Minerals
