Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,24.26,54.3,1.5,7.9,7.7,13.5,33.2,24.7,58.71,10.5,57.41,1.01,,55.33,6.19,0.74,0.61,140.09,1.78,125.99,57.06,66.46,1.56,0.5,,0.18,0.67,25.79,22.36,29.6,25.17,22,6.14,6.46,3.88,0.54,21.81,3.52,0.68,24.76,15.64,4.89,,133.64,54.39,17.3,,21.75,,22.9,6.82,29.06,26.89,2.24,6.35,,0.78,1.66,,28.96,5.58,1.25,,,22.96,28.95,2.08,2.15,26.04,1.37,13.03,74.15,18.1,23.78,,16.15,,3.15,45.19,,,10,33913792728.0,Medical Specialties,Health Technology
AA,14.91,55.51,1.4,10.2,,,,,75.95,5.9,59.32,1.18,7.69,58.59,1.24,0.44,0.55,33.83,1.55,79.98,58.53,26.31,10.94,0.65,,,1.18,,43.66,,8.32,5.31,0.94,0.95,,0.27,,,1.18,12.32,,,2.34,39.54,8.14,,,,,,1.56,,,,0.54,,,,,,,,,,18.03,,,1.49,1.63,0.92,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,56.77,,10.4,,,,,597.78,27,54.09,,,57.29,0.66,0.34,0.21,11.0,0.6,20.92,21.96,14.01,19.76,,,,,19.19,19.19,,10.27,6.13,0.68,0.72,5.21,,,,,5.91,,,4.03,16.53,20.23,1.4,,,,5.34,,,11.39,,0.14,,,,,,,0.33,,,3.56,,,,,0.5,,5.17,4.89,,,12.18,,42.85,8.22,,,8,8696254174.0,Airlines,Transportation
AAON,46.29,76.43,,26.3,8.1,29.5,31.8,,20.3,29.5,93.74,0.47,4.96,83.74,21.71,,,104.12,2.99,98.09,12.85,43.47,0.35,0.14,,0.14,0.31,34.57,28.34,81.98,,,,7.04,2.89,0.73,8.59,1.22,0.31,37.35,20.48,18.09,11.33,78.71,36.27,88.05,,15.61,,20.32,11.37,46.87,46.87,1.87,7.27,,2.36,6.81,,84.92,5.49,1.44,,55.09,38.34,59.94,1.88,7.66,14.46,1.7,19.5,39.13,29.71,25.86,,21.83,,0.54,95.46,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,1.15,31.73,3.6,,26,,,,,8.9,41.95,52.38,,34.85,1.73,0.09,0.12,40.99,1.23,263.29,213.8,27.04,11.12,1.52,,100,2.45,131.97,16.88,17.08,22.52,10.8,0.53,0.53,0.76,0.21,3.13,14.4,2.45,14.83,5.89,82.89,,147.54,39.48,0.41,,,,0.3,0.94,4099,4099,,0.22,,,,,6.92,20.7,0.19,,,4.53,14.83,,0.36,2.35,0.3,,0.91,0.64,,,0.32,,,5.47,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,29.07,59.16,2.9,1.3,5.7,20.9,23.2,14.6,102.85,15.7,70.86,0.61,26.78,63.01,10.22,0.47,0.61,228.2,0.95,11.42,91.36,22.13,0.75,1.52,,0.15,0.44,28.39,26.04,33.73,26.28,24.12,8.26,9.13,3.52,0.2,27.06,3.01,0.45,30.51,19.82,11.24,6.08,184.41,45.96,120.35,,26.44,,31.27,52.12,34.75,34.75,2.06,9.22,,1.31,1.47,,33.92,8.97,2.13,,,31.34,36.63,2,2.58,52.1,0.91,29.81,269.91,59,151.08,,35.41,,3.22,50.29,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,26.13,57.99,,,9.7,8.1,22.2,18.4,28.45,8.5,55.41,6.07,19.15,57.39,0.74,0.99,0.07,26.94,1.84,,145.05,6.23,6.69,1.44,,1.49,4.94,24.15,12.74,23.4,,,,7.33,4.14,0.4,31.33,8.5,4.96,37.94,8.05,,2.74,26.99,62.62,1.87,,15.39,,27.37,1.38,30.27,30.27,13.16,4.67,,2.42,1.18,11.91,14.9,1.37,0.59,,,10.15,20.4,,1.2,1.4,1.84,2.29,628.91,4.67,5.7,,4.27,,3.7,33.26,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,27.69,50.94,,,7.8,9.6,49.1,7.4,26.06,3.8,42.06,5.21,11.28,46.19,2.02,0.31,0.19,193.47,0.81,73.4,65.71,76.62,3.91,10.42,,0.57,3.19,41.74,22.09,22.47,14.39,14.02,6.79,7.26,2.4,0.05,32.33,5.2,3.22,16,20.15,7.21,4.99,146.45,62.76,5.48,,9.71,,24.95,50.38,64.49,18.08,1.17,6.26,,0.74,0.58,,19.35,,1.42,,,18.47,32.65,1.26,1.73,,0.71,3.83,192.43,9.41,53.28,,9.12,,2.94,41.97,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,45.76,,8.7,,,,,,,36.68,,,44.82,2.01,9.52,9.3,2.59,10.96,,,406.96,,0.07,,,,,,,,,8.29,6.33,,0.79,,,,,,,32.02,1.06,,,,,,,0.73,,,,24.04,,,,,,,,2.07,1.62,,,,,0.78,10.96,,,,,,,,0.67,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,47.63,,2.2,20.8,5.4,3.2,9.8,60.73,11,33.69,10.41,,42.61,3.72,0.44,4.44,2.3,1.11,97.74,188.94,24.71,0.13,0.04,,0.79,6.55,9.06,6.77,9.42,8.79,6.74,2.14,2.17,11.04,0.66,25.65,11.34,6.55,12.57,14.54,4.92,6.6,2.63,50.83,7.5,,17.86,,24.06,2.05,12.64,12.11,2.47,2.43,,,,,9.72,1.65,0.45,,,7.59,10.74,1.76,0.72,4.69,0.79,10.57,68.13,19.18,16.5,,16.25,,5.95,12.11,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
