Ticker,12-1 Month Momentum %,14-Day RSI,3-1 Month Momentum %,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-GF-Value,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
ABT,13.07,56.09,3.59,0.7,6.3,12.3,6.8,6.7,,,5.8,63.89,3.55,10.78,58.33,5.31,0.52,0.52,117.76,1.6,134.18,82.06,59.46,1.42,0.38,,0.48,1.9,28.61,19.9,32.47,22.47,17.74,4.68,5.11,3.5,0.54,15.74,3.18,1.9,22.8,11.28,8.9,6.48,108.26,55.55,11.5,,13.99,,16.24,5.13,35.79,26.05,2.27,5.03,,1.41,1.65,,31.73,1.09,5.19,1.16,,,23.59,41.48,3.23,1.96,23.23,1.14,7.9,65.41,12.45,14.86,,10.65,,3.38,42.06,,,10,176555322492.0,Medical Specialties,Health Technology
ACA,24.19,73.97,5.62,,6.9,,13.2,4.1,,3.27,5.9,84.59,0.18,8.03,78.04,2.92,1.75,0.61,110.58,3.61,70.83,47.61,57.32,3.31,0.51,,0.06,0.18,29,15.41,47.68,,,1.94,2.32,3.45,0.56,4.86,2.29,0.18,25.05,17.99,26.64,11.51,76.6,19.84,4.58,,5.17,,7.87,2.17,41.19,33.54,1.66,2.13,,,,,43.76,1.44,2.71,,,,16.73,25.65,2.18,1.5,4.82,2.77,3.4,11.35,5.93,5.41,,5.14,,,,,,9,3644941042.999999,Trucks/Construction/Farm Machinery,Producer Manufacturing
ACAD,,52.87,,,,,38.8,40.9,46.1,223.57,16.4,43.8,,,50.37,2.64,1.64,11.45,16.37,2.29,235.21,82.57,38.31,0.4,0.09,,,,19.39,17.47,10.73,13.3,16.4,2.13,2.34,5.16,0.59,21.82,7.44,,20.81,,,15.87,33.66,91.61,,,13.83,,12.08,4.72,20.99,20.99,0.94,2.94,,,,,13.36,0.49,2.32,,16.37,7,13.36,20.46,,,5.76,2.11,15.57,203.67,21.17,27.32,,51.02,,,,,,,4047377469.0,Pharmaceuticals: Major,Health Technology
ACHC,,26.09,,,12.2,,,16.9,,,10.9,36.54,,,28.69,1.69,0.13,0.04,38.23,1.07,18.46,542.09,44.04,3.16,0.66,,,,11.24,8.67,,8.86,6.99,1.6,1.77,8.9,0.52,,,,10.52,0.92,11.97,9.07,85.08,96.45,5.11,,8.99,,17.48,1.17,12.65,11,,1.14,,,,,,0.45,1.57,0.52,,,27.33,,,1.15,5.06,1.06,5.05,19.42,10.06,9.78,,8.25,,,113.71,,,7,6460318360.000001,Medical/Nursing Services,Health Services
ACHR,,78.76,,,100.9,,,,,,,86.46,,,82.18,,5.79,,,6.03,,,,,,,,,,,,,,40.63,,,,,,,,,16.18,,,,,,,,,5.25,,,,,,,,,,,,,8.05,7.55,,,,,5.49,6.03,,,,,,,,,,,,,1649497955.0,Aerospace & Defense,Electronic Technology
ACI,,53.3,,,18.8,33.9,6,,,132.17,4.2,48.8,2.49,,52.85,3.53,0.04,0.02,19.37,0.9,31.65,26.16,3.64,3.36,4.7,,0.19,2.49,14.33,5.91,31.75,12.46,6.46,0.3,0.31,6.98,0.11,0.99,7.12,2.49,8.52,16.63,,1.83,21.45,27.85,3.83,,1.25,,2.28,3.66,11.15,7.62,0.56,0.14,,,,,14.11,0.9,,,,,4.13,13.99,1.22,0.81,,0.22,3.79,11.26,9.28,37.17,,6.52,,7.19,27.92,,,7,13551493187.000002,Food Retail,Retail Trade
ACIW,89.57,68.1,1.73,2.6,5.9,,7,21.8,,142.28,6.8,80.11,,35.6,71.74,3.74,0.26,0.17,58.64,1.56,,21.51,50.45,2.07,0.77,,,,18.09,13.51,23.98,,14.84,3.87,4.14,5.53,0.43,17.25,4.54,,29.64,13.15,31.06,7.94,34.12,52.2,4.73,,14.04,,22.14,4.62,27.66,25.28,2.11,3.89,,1.28,1.94,,22.6,1.72,,1.5,,,19.8,25.27,2.44,1.73,,1.56,6.9,262.89,15.7,17.86,,8.99,,3.28,59.84,,,10,2556336665.0,Packaged Software,Technology Services
ACLS,,32.86,,0.9,22.7,,62.7,72,31,57.41,34.8,46.23,,,35.32,6.63,2.3,13.15,75.07,4.45,183.28,30.95,67.21,0.16,0.05,,,,6.99,6.61,10.5,,6.94,1.66,1.72,14.31,0.73,16.36,7.21,,15.26,25.2,,,114.46,44.28,44.08,,20.65,,21.88,2.5,11.11,11.11,0.23,2.32,,,,,14.04,0.66,1.11,1.02,11.25,3.21,12.73,13.77,0.44,1.04,2.5,3.29,17.31,67.54,25.93,24.8,,28.79,,2.59,23.83,,,9,5489377800.999999,Industrial Machinery,Producer Manufacturing
ACLX,69.46,45.59,36.11,,,,2.6,0.1,,,,28.33,,66.72,39.77,9.97,4.19,8.79,90.44,4.29,,,71.34,,0.14,,,,,,1174.29,,,45.23,27,,0.63,2.3,0.08,,,,,10.09,0.0,,,,,,,9.75,,,,28.78,,,,,593.33,,,,16.72,15.98,181.71,,,,10.11,4.29,,,,,,,,0.28,,,,,1598748014.0,Biotechnology,Health Technology
ACM,21.62,67.73,10.32,4.6,,,0.1,22.9,46.8,,7.7,80.4,0.77,19.21,71.39,2.4,,0.52,116.31,,,54.18,84.61,3.18,1.38,,0.21,0.77,18.22,15.21,23.64,15.14,13.45,2.11,1.02,5.49,0.18,4.4,4.54,0.9,23.15,6.85,13.78,7.62,98.76,6.73,4.98,,2.5,,5.74,7.14,39.29,25.73,9.19,0.95,,,,,22.58,1.18,2.94,2.18,,,19.29,29.47,,2.17,7.14,,3.46,57.7,13.32,18.05,,10.08,,3.22,181.73,,,7,11643339642.999998,Engineering & Construction,Industrial Services
ACN,11.61,51.21,12.47,0.4,13.6,13.6,5.4,10.7,1.4,10.85,9.3,52.89,2.59,21.06,51.46,7.41,0.26,1.22,358.66,1.1,,20.51,69.84,0.37,0.15,,0.43,1.47,23.03,20.08,26.09,21.11,17.19,3.28,3.46,4.34,0.51,13.27,3.84,1.64,28,13.18,8.98,7.11,330.6,32.61,162.73,,11.19,,14.79,7.93,31.38,29.99,3.22,3.51,,1.45,1.15,,26.47,1.08,8.37,1.25,,,24.97,38.09,3.14,1.74,52.59,1.1,13.75,236.59,27.79,26.8,,19.63,,2.63,38.86,,,10,207617355910.0,Information Technology Services,Technology Services
ACVA,21.55,65.21,1.64,,,,,,,,30.6,67.88,,0.65,67.63,3.7,0.68,2.5,21.97,1.51,,452.01,118.12,,0.25,,,,,,403.78,,,4.36,5.77,,0.44,1.43,0.24,,575.4,,,29.4,18.57,51.48,,,,,,7.89,,,,5.92,,,,,439.59,1.18,,,,59.38,84.8,,,,32.31,1.51,,,,,,,,,,,,,2506975976.0,Internet Retail,Retail Trade
ADBE,,54.66,,1.7,9.4,,17.7,16.7,11.4,,16.8,61.28,,1.9,57.28,11.96,0.78,1.24,512.15,1.11,,49.25,33.27,0.78,0.42,,,,32,28.44,33.68,20.03,18.72,9.27,10.53,3.13,0.49,31.27,2.91,,24.94,19.3,13.4,10.79,582.44,88.66,51.2,,25.59,,35.93,15.67,43.26,28.64,1.34,11.05,,0.92,1.13,,35.5,0.88,18.23,0.86,,,34.51,50.39,1.73,2.28,261.3,1.11,18.17,291.22,33.73,34.74,,22.82,,3.06,64.26,,,10,241068062221.0,Packaged Software,Technology Services
ADC,30.69,55.4,3.69,,5.9,6.7,5.7,1.7,14.6,3.33,5.9,49.86,5.34,24.79,54.97,1.85,0.08,0.01,76.45,0.74,,573.52,54.1,5.08,0.51,,1.67,3.9,37.79,21.29,25.56,32.68,19.69,17.08,18.67,2.65,0.65,73.03,5.28,3.97,41.62,11.56,2.17,11.29,74.12,87.94,2.87,,31.62,,48.86,1.55,42.24,42.88,6.92,12.81,,3.71,1.38,18.05,17.57,1.03,1.88,1.02,,,17.57,,6.48,1.08,1.85,0.74,2.41,,3.83,3.64,,3.69,,,34.28,,,10,5725111028.0,Real Estate Investment Trusts,Finance
ADEA,25.15,49.47,4.58,,,,,,,13.28,,56.2,0.3,5.2,50.23,1.9,1.25,0.17,12.05,3.42,,,38.31,2.94,1.41,,0.19,1.67,17.7,9.73,13.55,,,4.75,5.14,5.65,0.35,37.93,9.9,1.67,8.82,14.49,,,9.26,,1.91,,12.01,,30.96,3.48,33.47,11.26,3.63,3.98,,,,,10.43,1.3,,1.9,,,9.41,14.22,,0.62,,3.42,3.78,475.57,9.9,11.55,,10.09,,10.38,92.69,,,5,1062196184.9999998,Packaged Software,Technology Services
ADI,22.96,43.57,1.22,,30.2,11.6,25.1,26.1,12.4,8.32,17.3,53.2,3.03,,44.55,5.44,0.79,0.31,214.59,1.69,139.48,41.5,48.27,1.9,0.23,,0.81,1.71,52.14,26.22,37.93,27.6,21.27,10.62,11.52,1.92,0.72,30.39,2.77,1.74,28.72,17.72,11.58,,151.93,57.85,7.22,,17.07,,23.16,3.03,64.44,48.74,4,11.07,,2.68,1.8,,36.31,1.41,,1.61,,,26.89,33.93,3.29,1.75,,1.24,3.39,48.07,4.69,4.66,,4.47,,1.87,50.37,,,10,90112565563.0,Semiconductors,Electronic Technology
ADM,,42.74,,2.6,9.4,7.7,25.1,24.8,,89.18,15,51.72,4.95,,45.86,3.12,0.04,0.07,53.13,1.4,50.57,24.48,21.74,2.74,0.52,,0.39,3.77,11.95,8.69,10.21,13.73,9.55,0.42,0.41,8.37,0.42,4.05,13.87,3.77,10.55,23.08,,,78.2,7.08,3.58,,2.07,,2.85,1.16,15.09,10.76,0.59,0.31,,,,,7.8,0.68,0.9,0.76,,,5.4,7.3,0.56,1.39,1.7,0.84,3.34,14.4,8.6,7.7,,4.13,,16.02,11.65,,,10,42539663009.00001,Agricultural Commodities/Milling,Process Industries
ADNT,,39.73,1.88,3.5,,,,,,,4.5,38.9,,,38.52,1.75,0.26,0.39,19.34,1.11,21.21,66.18,45.49,3.67,1.13,,,,9.51,4.7,11.11,8.02,4.31,0.21,0.21,10.52,0.23,1.89,16.88,,9.63,25.97,27.82,,37.92,6.32,2.09,,0.12,,2.72,0.77,84.09,10.52,0.54,0.12,,,,,6.16,0.51,,,,,3.21,9.57,0.51,0.58,,0.9,0.19,23.38,5.76,0.85,,4.79,,20.37,,,,5,3590797312.0,Auto Parts: OEM,Producer Manufacturing
ADP,26.04,64.64,8.15,1.2,,13.8,15.3,15.1,13,13.01,9,69.96,3.18,14.69,65.4,3.11,0.19,0.79,305.15,1.01,,3.27,65.98,1.56,1.75,,0.59,1.82,23.25,21.08,30.92,23.52,21.72,6.18,6.84,4.3,0.11,22.11,3.28,2,30.67,14.82,8.76,7.46,269.24,42.56,9.92,,20.87,,21.92,23.26,32.57,32.36,2.67,6.82,,1.59,1.75,,30.74,1.13,10.41,1.33,,,26.93,44.27,2.58,3.09,75.35,1.01,7.01,518.83,59.25,86.24,,6.18,,1.75,45.82,,,10,101064499899.00002,Data Processing Services,Technology Services
ADSK,42.35,71.32,15.43,0.9,25.4,,21.7,23.3,,,14.2,79.57,,31.15,73.65,6.1,0.43,0.72,321.27,0.64,,94.05,32.85,1.8,1.05,,,,53.21,47.38,64.14,34.94,33.05,10.03,11.83,1.88,0.25,18.45,1.55,,35,22.17,11.87,11.57,258.84,90.8,1291,,18.21,,22.24,27.99,65.7,39.28,0.72,11.97,,,,,64.97,1.24,,1.15,,,59.93,155.74,1.57,3.16,,0.64,11,369.7,23.5,57.58,,9.97,,0.46,265.51,,,6,45606470933.0,Packaged Software,Technology Services
ADT,17.17,53.85,,,3.7,,,,,,,47.82,2.64,,52.81,0.43,0.08,0.01,7.54,0.81,70.1,85.15,27.53,4.22,1.98,,0.38,2.64,29.58,7.83,12.98,,5.12,2.84,2.78,3.38,0.24,21.42,16.45,2.91,9.39,7.39,26.05,2.58,6.84,78.76,1.95,,17.19,,20.04,1.76,7.85,14.47,,1.39,,,,,6.52,1.1,,,,,3.92,5.23,,0.6,,0.64,5.45,14.81,3.29,24.01,,10.07,,33.22,,,,3,5285531149.0,Miscellaneous Commercial Services,Commercial Services
AEE,13.97,66.45,6.65,,6.5,8,7.3,6.3,10.2,5.28,6.9,74.58,3.87,19.89,69.37,0.91,,,93.81,0.63,73.28,83.66,27.63,5.15,1.54,,0.61,2.8,22.08,12.23,,19.72,11.35,5.19,5.94,4.53,0.27,,,2.84,19.06,1.52,7.7,3.78,82.07,49.45,2.94,,15.52,,25.95,2.12,22.07,21.85,3.97,3.44,,1.59,,,,1.14,1.46,1.31,,,10.1,,3.15,,2.19,0.41,2.73,5.71,5.17,9.9,,3.91,,,23.69,,,10,21222279644.0,Electric Utilities,Utilities
AEHR,,46.6,19.66,,99.7,,,,,52.85,46.7,64.95,,32.62,50.21,9.95,2.45,5.64,12.16,6.03,461.76,71.29,51.67,0.87,0.06,,,,51.54,40.76,,,,,5.37,1.94,0.84,,,,40.55,,,24.38,21.01,50.48,,,49.64,,10.43,2.94,12.41,11.16,,6.12,,,,,,0.58,1.33,2.31,24.82,5.17,2026.64,20.35,,3.5,3.59,3.24,25.04,13.84,5.89,29.87,,34.92,,,,,,4,1353850723.0,Electronic Production Equipment,Electronic Technology
AEIS,10.58,59.9,,0.9,13,,,,,,6.1,69.56,0.36,,62.17,4.43,2.25,0.99,115.19,4.62,139.39,54.35,65.57,5.33,0.57,,0.11,0.36,76.27,34.16,57.52,,12.08,2.68,2.88,1.31,0.53,5.01,1.7,0.36,23.13,15.21,,,85.33,35.16,2.31,,2.91,,4.34,3.73,101.04,31.56,2.36,2.92,,1.61,3.82,,58.45,1.35,2.91,1.03,,13.68,32.74,90.04,2.49,1.78,6.02,3.32,1.74,8.27,2.59,3.75,,8.16,,,40.85,,,9,3937546139.0,Electronic Production Equipment,Electronic Technology
AEM,77.47,55.37,8,,20.5,20.8,11.4,7.9,4,4.55,3.1,71.52,8.09,29.38,59.4,3.38,0.59,0.61,84.3,1.75,111.46,54.12,0.39,0.48,0.08,,0.47,1.9,23.35,12.78,23.5,12.73,8.8,4.48,5.44,4.28,0.69,23.84,4.41,1.9,18.48,11.49,22.06,11.42,62.57,40.9,27.86,,13.05,,34.15,2.13,42.15,24.52,0.96,5.56,,,,,23.32,1.35,1.73,1.26,,,12.2,26.83,2.73,1.95,2.67,0.83,3.5,8.35,6.58,5.13,,5.69,,2.46,54.04,,,9,24264092594.047283,Precious Metals,Non-Energy Minerals
AEO,17.57,34.04,,,10.5,45.5,,,66.4,90.5,5.8,40.25,2.45,,33.89,3.99,0.24,0.15,17.61,1.57,75.18,28.64,16.47,1.99,0.78,,0.29,2.81,10.23,6.69,15.12,8.77,6.07,0.79,0.82,9.78,0.48,5.42,8.68,2.81,9.14,1.45,11.34,3.41,18.04,39.18,,,4.58,,8.01,2,14.09,10.61,,0.65,,,,,11.75,0.98,1.06,0.79,,,7.29,21.68,,1.13,2.37,0.74,7.04,18.72,16.01,14.43,,11.24,,13.87,15.72,,,9,3043221255.9999995,Apparel/Footwear Retail,Retail Trade
AEP,27.65,51.07,1.63,,5.1,5.9,3.4,0.9,1.3,4.72,6.7,64.29,4.87,9.19,55.27,0.9,0.04,0.01,97.59,0.57,84.7,104.49,18.81,5.79,1.66,,0.71,3.67,22.33,12.57,,17.24,10.94,4.34,4.9,4.48,0.27,,,3.82,16.57,1.17,12.97,4.3,93.16,61.23,2.17,,13.46,,20.61,1.95,19.68,19.6,3.56,2.64,,,,,,1.05,1.31,1.13,,,8.07,,,11.48,1.96,0.41,2.7,5.48,4.94,10.22,,4.35,,0.74,20.76,,,10,41234689544.0,Electric Utilities,Utilities
AER,43.24,59.16,2.45,,6.4,,,5.5,,3.17,,73.04,0.77,5.31,63.46,0.74,2.25,0.08,98.03,4.5,5.24,57.13,3.06,10.49,2.89,,0.05,0.77,30.66,13.69,,15.95,9.39,7.73,8.09,3.26,0.23,,,1.02,8.15,,12.27,3.09,84.27,32.61,,,32.41,,26.37,1.11,7.92,10.06,,2.48,,,,,,1.16,0.76,1.46,,,3.48,7.53,,1.64,1.3,4.45,3.53,3.38,2.94,15.15,,2.69,,11.57,15.29,,,8,14432429370.0,Finance/Rental/Leasing,Finance
AES,0.53,26.49,,,,5,,6.9,,,7.2,19.28,6.78,,24.05,0.42,0.16,0.07,13.04,0.85,25.49,94.7,48.4,11.13,8.95,,0.3,5.31,25.83,13.94,,9.84,8.01,2.1,3,3.87,0.07,,,5.31,6.4,,6.48,4.07,21.63,19.44,1.43,,8.34,,17.25,2.82,9.06,5.62,,0.77,,,,,,0.6,1.51,0.79,,,3.92,,,,9.12,0.8,2.2,4.62,3.9,35.23,,17.84,,,,,,6,11544405347.0,Electric Utilities,Utilities
AESC,,35.89,,,,5,,6.9,,,7.2,31.65,,,33.56,0.42,0.16,0.07,62.61,0.85,25.49,94.7,48.4,11.13,8.95,,,,25.83,13.94,,,,,3,3.87,0.07,,,,6.72,,6.48,4.07,0.0,19.44,1.43,,8.34,,17.25,2.86,9.2,5.71,,0.77,,,,,,,,,,,3.95,,,,,0.8,2.2,4.62,3.9,35.23,,17.84,,,,,,6,11544405347.0,Electric Utilities,Utilities
AESI,18.74,56.32,1.65,,14.3,,129.9,,,49.89,64.1,65.53,3.81,,59.4,2.26,0.3,0.16,23.59,1.23,16.62,48.15,58.05,2.21,0.47,,0.99,3.81,20.98,12.41,,,6.39,2.34,3.01,4.77,0.53,,,4.07,12.16,,,25.28,0.0,26.47,4.92,,8.78,,15.35,2.26,27.33,24.87,,2.51,,,,,,,1.91,,,,8.45,,,,3.01,1.08,4.84,10.74,8.84,10.25,,8.11,,,,,,3,2304000047.0,Construction Materials,Non-Energy Minerals
AFRM,72.04,73.3,46.83,,,,85.6,17.5,,1.59,11.1,81.11,,43.71,76.63,2.5,15.58,0.3,66.55,64.66,,18.63,43.32,66.55,2.51,,,,,239.7,67.41,37.16,39.45,8.36,10.16,,0.28,15.07,1.84,,,,,25.57,37.98,65.71,,,,,,7.28,,,,8.17,,,,,54.33,1.75,,,,13.98,37.67,,,,9.14,64.66,,,,,,,,,,,,,7293861260.0,Finance/Rental/Leasing,Finance
AFYA,,41.46,,1.2,12.1,,32.7,10.6,54.7,11.9,37.5,33.02,,,37.54,2.22,0.9,0.27,16.74,1.6,0.45,126.67,62.76,2.29,0.76,,,,10.2,7.59,11.02,8.39,6.58,2.81,3.05,9.8,0.47,27.65,11.52,,9.99,27.11,35.27,6.76,19.69,62.43,2.75,,18.26,,29.03,1.98,13.24,14.38,0.34,2.46,,,,,8.96,0.85,,,,,6.13,11.52,0.59,0.77,,1.6,7.26,66.82,13.65,15.16,,12.45,,1.18,,,,7,1469574000.0000002,Other Consumer Services,Consumer Services
